,Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
307,I have a pet golden retriever . Each year he gains number0 pounds . He is number1 years old . How many pounds does he weigh ?,11.0 8.0,* number0 number1,88.0,"[10, 11, 12, 15, 16, 17, 23, 24, 25]",I have a pet golden retriever . Each year he gains number0 pounds . He is number1 years old .,How many pounds does he weigh ?
308,"Kaleb had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",21.0 15.0 6.0,/ + number0 number1 number2,6.0,"[3, 4, 5, 10, 11, 12, 18, 19, 20, 22, 23, 24]","Kaleb had saved up number0 dollars . If he received another number1 dollars for his allowance ,",how many number2 dollar toys could he buy ?
309,Mary is baking a cake . The recipe wants number0 cups of flour . She already put in number1 cups . How many cups does she need to add ?,8.0 2.0,- number0 number1,6.0,"[8, 9, 10, 17, 18, 19, 26, 27, 28]",Mary is baking a cake . The recipe wants number0 cups of flour . She already put in number1 cups .,How many cups does she need to add ?
310,There are number0 erasers and number1 scissors in the drawer . Jason placed number2 erasers in the drawer . How many erasers are now there in total ?,139.0 118.0 131.0,+ number0 number2,270.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 erasers and number1 scissors in the drawer . Jason placed number2 erasers in the drawer .,How many erasers are now there in total ?
311,One pencil weighs number0 grams . How much do number1 pencils weigh ?,28.3 5.0,* number0 number1,141.5,"[2, 3, 4, 8, 9, 10, 9, 10, 11]",One pencil weighs number0 grams .,How much do number1 pencils weigh ?
312,Zoe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Zoe have total ?,8.0 4.0 6.0,* number0 + number1 number2,80.0,"[11, 12, 13, 21, 22, 23, 24, 25, 26, 35, 36, 37]",Zoe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,How many pieces of winter clothing did Zoe have total ?
313,"Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes . How many cantelopes did they grow in total ?",29.0 16.0 20.0,+ + number0 number1 number2,65.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16, 23, 24, 25]","Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes .",How many cantelopes did they grow in total ?
314,"Ashley sold number0 boxes of Samoas . How many cases of number1 boxes , plus extra boxes does Ashley need ?",12.0 12.0,/ number0 number0,1.0,"[1, 2, 3, 10, 11, 12, 17, 18, 19]",Ashley sold number0 boxes of Samoas .,"How many cases of number1 boxes , plus extra boxes does Ashley need ?"
315,Adam has number0 blocks . Ann has with number1 blocks . Ann finds another number2 . How many blocks does Ann end with ?,13.0 9.0 44.0,+ number1 number2,53.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 20, 21, 22]",Adam has number0 blocks . Ann has with number1 blocks . Ann finds another number2 .,How many blocks does Ann end with ?
316,"Katie picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though , how many extra flowers did Katie pick ?",3.0 9.0 10.0,- + number0 number1 number2,2.0,"[1, 2, 3, 4, 5, 6, 15, 16, 17, 26, 27, 28]","Katie picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though ,",how many extra flowers did Katie pick ?
317,Ezra drew a white line that was number0 inches long . Then he drew a blue line that was number1 inches long . How much longer was the white line than the blue line ?,7.666666666666667 3.3333333333333335,- number0 number1,4.333333333333333,"[6, 7, 8, 18, 19, 20, 31, 32, 33]",Ezra drew a white line that was number0 inches long . Then he drew a blue line that was number1 inches long .,How much longer was the white line than the blue line ?
318,Lisa flew number0 miles at number1 miles per hour . How long did Lisa fly ?,256.0 32.0,/ number0 number1,8.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Lisa flew number0 miles at number1 miles per hour .,How long did Lisa fly ?
319,"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",2.0 2.0 8.0,* number2 + number0 number0,32.0,"[1, 2, 3, 9, 10, 11, 20, 21, 22, 28, 29, 30]","There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives ,",how many lives did they have total ?
320,"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",8.0 9.0 7.0,/ + number1 number2 number0,2.0,"[15, 16, 17, 27, 28, 29, 33, 34, 35, 42, 43, 44]","Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",how many trips will he make ?
321,"Kaleb was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",4.0 6.0 4.0,* number0 + number0 number1,40.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Kaleb was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?
322,"The tallest player on the basketball team is number0 inches tall . This is number1 inches taller than the shortest player . How tall is the shortest player , in inches ?",77.75 9.5,- number0 number1,68.25,"[7, 8, 9, 13, 14, 15, 28, 29, 30]",The tallest player on the basketball team is number0 inches tall . This is number1 inches taller than the shortest player .,"How tall is the shortest player , in inches ?"
323,A restaurant served number0 cakes during lunch and number1 during dinner today . The restaurant served number2 cakes yesterday . How many cakes were served in total ?,5.0 6.0 3.0,+ + number0 number1 number2,14.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17, 24, 25, 26]",A restaurant served number0 cakes during lunch and number1 during dinner today . The restaurant served number2 cakes yesterday .,How many cakes were served in total ?
324,Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was number0 inches long and the orange caterpillar was number1 inches long . How much longer was the green caterpillar than the orange caterpillar ?,3.0 1.1666666666666667,- number0 number1,1.8333333333333333,"[16, 17, 18, 24, 25, 26, 37, 38, 39]",Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was number0 inches long and the orange caterpillar was number1 inches long .,How much longer was the green caterpillar than the orange caterpillar ?
325,Sam had number0 dimes in his bank . His dad gave him number1 more dimes . How many dimes does Sam have now ?,9.0 7.0,+ number0 number1,16.0,"[1, 2, 3, 11, 12, 13, 20, 21, 22]",Sam had number0 dimes in his bank . His dad gave him number1 more dimes .,How many dimes does Sam have now ?
326,A recipe calls for number0 cups of sugar . You find that you only have number1 cups of sugar left . What fraction of the recipe can you make ?,2.0 0.3333,/ number1 number0,0.165,"[3, 4, 5, 14, 15, 16, 26, 27, 28]",A recipe calls for number0 cups of sugar . You find that you only have number1 cups of sugar left .,What fraction of the recipe can you make ?
327,"Carol and her mom were picking carrots from their garden . Carol picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",29.0 16.0 38.0,- + number0 number1 number2,7.0,"[12, 13, 14, 17, 18, 19, 21, 22, 23, 33, 34, 35]","Carol and her mom were picking carrots from their garden . Carol picked number0 and her mother picked number1 . If only number2 of the carrots were good ,",how many bad carrots did they have ?
328,Mrs. Hilt and her sister drove to a concert number0 miles away . They drove number1 miles and then stopped for gas . Her sister put number2 gallons of gas in the car . How many miles did they have left to drive ?,78.0 32.0 28.0,- number0 number1,46.0,"[8, 9, 10, 14, 15, 16, 25, 26, 27, 42, 43, 44]",Mrs. Hilt and her sister drove to a concert number0 miles away . They drove number1 miles and then stopped for gas . Her sister put number2 gallons of gas in the car .,How many miles did they have left to drive ?
329,"John made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week , how long would the money last him ?",6.0 18.0 3.0,/ + number0 number1 number2,8.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 25, 26, 27]","John made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week ,",how long would the money last him ?
330,"A study reported that in a random sampling of number0 women over the age of number1 , number2 of the women were married number3 or more times . Based on the study results , how many woman in a group of number4 women over the age of number5 would likely be married number6 or more times ?",100.0 35.0 8.0 2.0 5000.0 35.0 2.0,* / number2 number0 number4,400.0,"[8, 9, 10, 11, 14, 15, 16, 17, 16, 17, 18, 19, 22, 23, 24, 25]","A study reported that in a random sampling of number0 women over the age of number1 , number2 of the women were married number3 or more times . Based on the study results ,",how many woman in a group of number4 women over the age of number5 would likely be married number6 or more times ?
331,Elizabeth went to the salon and had number0 inch of hair cut off . The next day she went back and asked for another number1 inch to be cut off . How much hair did she have cut off in all ?,0.375 0.5,+ number0 number1,0.875,"[6, 7, 8, 23, 24, 25, 38, 39, 40]",Elizabeth went to the salon and had number0 inch of hair cut off . The next day she went back and asked for another number1 inch to be cut off .,How much hair did she have cut off in all ?
332,number0 people are watching a movie in a theater . The theater has number1 seats . How many seats are empty in the theater ?,532.0 750.0,- number1 number0,218.0,"[0, 1, 12, 13, 14, 21, 22, 23]",number0 people are watching a movie in a theater . The theater has number1 seats .,How many seats are empty in the theater ?
333,Roden went to a pet shop . He bought number0 gold fish and number1 blue fish . How many fish did he buy ?,15.0 7.0,+ number0 number1,22.0,"[8, 9, 10, 12, 13, 14, 20, 21, 22]",Roden went to a pet shop . He bought number0 gold fish and number1 blue fish .,How many fish did he buy ?
334,Sandy sold lemonade in her neighborhood . She got number0 half - dollars on Saturday and number1 half - dollars on Sunday . What amount of money did Sandy receive ?,17.0 6.0,+ * number0 0.5 * number1 0.5,11.5,"[8, 9, 10, 15, 16, 17, 27, 28, 29]",Sandy sold lemonade in her neighborhood . She got number0 half - dollars on Saturday and number1 half - dollars on Sunday .,What amount of money did Sandy receive ?
335,A chocolate chip cookie recipe calls for number0 cups of chocolate chips . You want to make number1 recipes for a bake sale . How many cups of chocolate chips will be needed to make all the cookie recipes ?,2.0 23.0,* number0 number1,46.0,"[6, 7, 8, 16, 17, 18, 38, 39, 40]",A chocolate chip cookie recipe calls for number0 cups of chocolate chips . You want to make number1 recipes for a bake sale .,How many cups of chocolate chips will be needed to make all the cookie recipes ?
336,"Alyssa has number0 blue balloons , Sandy has number1 blue balloons , and Sally has number2 blue balloons . How many blue balloons do they have in all ?",37.0 28.0 39.0,+ + number0 number1 number2,104.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 25, 26, 27]","Alyssa has number0 blue balloons , Sandy has number1 blue balloons , and Sally has number2 blue balloons .",How many blue balloons do they have in all ?
337,"At the schools book fair Sam bought number0 adventure books and number1 mystery books . If number2 of the books were used , how many new books did he buy ?",13.0 17.0 15.0,- + number0 number1 number2,15.0,"[6, 7, 8, 10, 11, 12, 15, 16, 17, 27, 28, 29]","At the schools book fair Sam bought number0 adventure books and number1 mystery books . If number2 of the books were used ,",how many new books did he buy ?
338,Fred has number0 baseball cards . Keith bought number1 of Fred 's baseball cards . How many baseball cards does Fred have now ?,40.0 22.0,- number0 number1,18.0,"[1, 2, 3, 7, 8, 9, 22, 23, 24]",Fred has number0 baseball cards . Keith bought number1 of Fred 's baseball cards .,How many baseball cards does Fred have now ?
339,There are number0 cards . number1 cards more are added . How many are there total ?,9.0 4.0,+ number0 number1,13.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 cards . number1 cards more are added .,How many are there total ?
340,"April 's discount flowers was having a sale where each rose was number0 dollars . If April started with number1 roses and had number2 roses left , how much money did she earn ?",4.0 13.0 4.0,* number0 - number1 number0,36.0,"[11, 12, 13, 18, 19, 20, 22, 23, 24, 30, 31, 32]","April 's discount flowers was having a sale where each rose was number0 dollars . If April started with number1 roses and had number2 roses left ,",how much money did she earn ?
341,A garden has number0 rows and number1 columns of bean plans . How many plants are there in all ?,52.0 15.0,* number0 number1,780.0,"[2, 3, 4, 5, 6, 7, 16, 17, 18]",A garden has number0 rows and number1 columns of bean plans .,How many plants are there in all ?
342,Lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon . How many shells did he pick up in all ?,292.0 324.0,+ number0 number1,616.0,"[2, 3, 4, 11, 12, 13, 24, 25, 26]",Lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon .,How many shells did he pick up in all ?
343,number0 birds were sitting in a tree . number1 more birds flew up to the tree . How many birds were there altogether in the tree ?,14.0 21.0,+ number0 number1,35.0,"[0, 1, 7, 8, 9, 23, 24, 25]",number0 birds were sitting in a tree . number1 more birds flew up to the tree .,How many birds were there altogether in the tree ?
344,Zach scored number0 points in the football game . Ben scored number1 points . How many more points did Zach score ?,42.0 21.0,- number0 number1,21.0,"[1, 2, 3, 10, 11, 12, 18, 19, 20]",Zach scored number0 points in the football game . Ben scored number1 points .,How many more points did Zach score ?
345,number0 students were sitting at each table in the lunchroom . There are number1 tables . How many students were sitting in the lunchroom ?,6.0 34.0,* number0 number1,204.0,"[0, 1, 12, 13, 14, 21, 22, 23]",number0 students were sitting at each table in the lunchroom . There are number1 tables .,How many students were sitting in the lunchroom ?
346,"At Tom 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars , how much was the bill ?",2.0 5.0 8.0,* number2 + number0 number1,56.0,"[6, 7, 8, 9, 10, 11, 20, 21, 22, 26, 27, 28]","At Tom 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars ,",how much was the bill ?
347,Megan had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Megan end up with ?,93.0 21.0 8.0,/ - number0 number1 number2,9.0,"[1, 2, 3, 9, 10, 11, 19, 20, 21, 31, 32, 33]",Megan had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one .,How many folders did Megan end up with ?
348,"Betty has number0 oranges stored in boxes . If there are number1 boxes , how many oranges must go in each box ?",24.0 3.0,/ number0 number1,8.0,"[1, 2, 3, 10, 11, 12, 19, 20, 21]","Betty has number0 oranges stored in boxes . If there are number1 boxes ,",how many oranges must go in each box ?
349,Students went to a concert in number0 buses . Each bus took number1 students . How many students went to the concert ?,8.0 45.0,* number0 number1,360.0,"[5, 6, 7, 11, 12, 13, 19, 20, 21]",Students went to a concert in number0 buses . Each bus took number1 students .,How many students went to the concert ?
350,Alyssa has number0 books . Nancy has number1 times more books than Alyssa . How many books does Nancy have ?,36.0 7.0,* number0 number1,252.0,"[1, 2, 3, 6, 7, 8, 19, 20, 21]",Alyssa has number0 books . Nancy has number1 times more books than Alyssa .,How many books does Nancy have ?
351,"Joe has number0 oranges that must be put away in boxes . Daniel comes to help and brings number1 cookies to share with Joe . If there are number2 boxes , how many oranges must go in each box ?",45.0 16.0 9.0,/ number0 number2,5.0,"[1, 2, 3, 17, 18, 19, 27, 28, 29, 36, 37, 38]","Joe has number0 oranges that must be put away in boxes . Daniel comes to help and brings number1 cookies to share with Joe . If there are number2 boxes ,",how many oranges must go in each box ?
352,Patricia starts with number0 candies . Albert takes number1 away . How many candies does Patricia end with ?,76.0 5.0,- number0 number1,71.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",Patricia starts with number0 candies . Albert takes number1 away .,How many candies does Patricia end with ?
353,"Joyce has number0 eggs . Marie gives Joyce number1 more . Later , Joyce buys number2 erasers at the store . How many eggs does Joyce have in all ?",8.0 6.0 13.0,+ number0 number1,14.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 26, 27, 28]","Joyce has number0 eggs . Marie gives Joyce number1 more . Later , Joyce buys number2 erasers at the store .",How many eggs does Joyce have in all ?
354,"Tammy drove number0 miles in one hour . At that rate , how far can she drive in number1 hours ?",55.0 36.0,* number0 number1,1980.0,"[1, 2, 3, 17, 18, 19, 17, 18, 19]","Tammy drove number0 miles in one hour . At that rate ,",how far can she drive in number1 hours ?
355,Emily collected eggs from the hen and put them into number0 baskets . She put number1 eggs into each basket . How many eggs did Emily collect ?,303.0 28.0,* number0 number1,8484.0,"[9, 10, 11, 14, 15, 16, 24, 25, 26]",Emily collected eggs from the hen and put them into number0 baskets . She put number1 eggs into each basket .,How many eggs did Emily collect ?
356,Edward and his friend were buying trick decks from the magic shop for number0 dollars each . How much did they spend if Edward bought number1 decks and his friend bought number2 decks ?,9.0 4.0 4.0,* number0 + number1 number1,72.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 30, 31, 32]",Edward and his friend were buying trick decks from the magic shop for number0 dollars each .,How much did they spend if Edward bought number1 decks and his friend bought number2 decks ?
357,"Nancy was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",6.0 2.0 6.0,* number0 + number0 number1,48.0,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]","Nancy was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?
358,"Jane ’ s dad brought home number0 marble potatoes . If Jane ’ s mom made potato salad for lunch and served an equal amount of potatoes to Jane , herself and her husband , how many potatoes did each of them have ?",24.0,/ number0 3.0,8.0,"[4, 5, 6, 7, 5, 6, 7, 8, 5, 6, 7, 8]","Jane ’ s dad brought home number0 marble potatoes . If Jane ’ s mom made potato salad for lunch and served an equal amount of potatoes to Jane , herself and her husband ,",how many potatoes did each of them have ?
359,Mr. Guzman bought number0 doughnuts packed equally into number1 boxes . How many doughnuts were in each box ?,48.0 4.0,/ number0 number1,12.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",Mr. Guzman bought number0 doughnuts packed equally into number1 boxes .,How many doughnuts were in each box ?
360,A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount how many would each person get ?,4.0 9.0 7.0,/ + number1 number2 number0,4.0,"[2, 3, 4, 13, 14, 15, 19, 20, 21, 36, 37, 38]",A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount,how many would each person get ?
361,"At the arcade Victor won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",46.0 27.0 39.0,- + number0 number2 number1,58.0,"[4, 5, 6, 10, 11, 12, 18, 19, 20, 25, 26, 27]","At the arcade Victor won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets ,",how many would he have ?
362,Sally grew number0 turnips and number1 pumpkins . Mary grew number2 turnips . How many turnips did they grow in total ?,113.0 118.0 129.0,+ number0 number2,242.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 18, 19, 20]",Sally grew number0 turnips and number1 pumpkins . Mary grew number2 turnips .,How many turnips did they grow in total ?
363,A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,31.0 9.0 38.0,- + number0 number2 number1,60.0,"[2, 3, 4, 12, 13, 14, 19, 20, 21, 30, 31, 32]",A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin,how many would be in the bin ?
364,"Logan recorded the snowfall every day during a snowstorm . He recorded number0 centimeter on Wednesday , number1 centimeter on Thursday , and number2 centimeter on Friday . How many total centimeters of snow did Logan record ?",0.3333333333333333 0.3333333333333333 0.2222222222222222,+ + number0 number0 number2,0.8888888888888888,"[11, 12, 13, 16, 17, 18, 22, 23, 24, 34, 35, 36]","Logan recorded the snowfall every day during a snowstorm . He recorded number0 centimeter on Wednesday , number1 centimeter on Thursday , and number2 centimeter on Friday .",How many total centimeters of snow did Logan record ?
365,"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",14.0 7.0 5.0,* number2 - number0 number1,35.0,"[3, 4, 5, 11, 12, 13, 26, 27, 28, 33, 34, 35]","A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points ,",how many points were scored total ?
366,There are number0 pencils and number1 rulers in the drawer . Benny placed number2 pencils in the drawer . How many pencils are now there in total ?,6.0 7.0 3.0,+ number0 number2,9.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 pencils and number1 rulers in the drawer . Benny placed number2 pencils in the drawer .,How many pencils are now there in total ?
367,"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?",9.0 6.0 6.0,* number1 - number0 number1,18.0,"[3, 4, 5, 11, 12, 13, 18, 19, 20, 33, 34, 35]","A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window ,",how long will it take him to install the rest ?
368,"Michael has number0 blocks stored in boxes . If there are number1 boxes , how many blocks must go in each box ?",16.0 8.0,/ number0 number1,2.0,"[1, 2, 3, 10, 11, 12, 19, 20, 21]","Michael has number0 blocks stored in boxes . If there are number1 boxes ,",how many blocks must go in each box ?
369,"Hoping to be named Salesperson of the Month , Rosa called the names from number0 pages of the phone book last week . This week , she called the people listed on another number1 pages of the same phone book . How many pages worth of people did Rosa call in all ?",10.2 8.6,+ number0 number1,18.8,"[13, 14, 15, 32, 33, 34, 49, 50, 51]","Hoping to be named Salesperson of the Month , Rosa called the names from number0 pages of the phone book last week . This week , she called the people listed on another number1 pages of the same phone book .",How many pages worth of people did Rosa call in all ?
370,"Jane had been saving large empty cans to serve as pots for sunflowers . If she has number0 sunflower seeds and there are number1 cans , how many seeds will be placed in each can if she places an equal number of seeds in each can ?",54.0 9.0,/ number0 number1,6.0,"[16, 17, 18, 22, 23, 24, 43, 44, 45]","Jane had been saving large empty cans to serve as pots for sunflowers . If she has number0 sunflower seeds and there are number1 cans ,",how many seeds will be placed in each can if she places an equal number of seeds in each can ?
371,"A pet shelter had number0 puppies when another number1 were brought in . If number2 puppies a day are adopted , how long would it take for all of them to be adopted ?",8.0 19.0 3.0,/ + number0 number1 number2,9.0,"[3, 4, 5, 7, 8, 9, 13, 14, 15, 30, 31, 32]","A pet shelter had number0 puppies when another number1 were brought in . If number2 puppies a day are adopted ,",how long would it take for all of them to be adopted ?
372,Lemon heads come in packages of number0 . Louis ate number1 Lemon Heads . How many whole boxes did he eat and how many Lemon Heads does he have left ?,6.0 54.0,/ number1 number0,9.0,"[5, 6, 7, 9, 10, 11, 27, 28, 29]",Lemon heads come in packages of number0 . Louis ate number1 Lemon Heads .,How many whole boxes did he eat and how many Lemon Heads does he have left ?
373,"Tom purchased a football game for $ number0 , a strategy game for $ number1 , and a Batman game for $ number2 . How much did Tom spend on video games ?",14.02 9.46 12.04,+ + number0 number1 number2,35.52,"[6, 7, 8, 13, 14, 15, 21, 22, 23, 29, 30, 31]","Tom purchased a football game for $ number0 , a strategy game for $ number1 , and a Batman game for $ number2 .",How much did Tom spend on video games ?
374,"Milford Lake was originally blue because it only had number0 algae plants . Now there are number1 algae plants , and the lake has turned green . How many more algae plants are in Milford Lake now ?",809.0 3263.0,- number1 number0,2454.0,"[8, 9, 10, 15, 16, 17, 34, 35, 36]","Milford Lake was originally blue because it only had number0 algae plants . Now there are number1 algae plants , and the lake has turned green .",How many more algae plants are in Milford Lake now ?
375,"If Karen sold number0 boxes of Tagalongs , how many cases of number1 boxes does Karen pickup from the cookie mom ?",36.0 12.0,/ number0 number1,3.0,"[2, 3, 4, 11, 12, 13, 18, 19, 20]","If Karen sold number0 boxes of Tagalongs ,",how many cases of number1 boxes does Karen pickup from the cookie mom ?
376,"You want to give your baseball cards to your number0 best friends . You have number1 baseball cards . How many would each get , if you share them equally ?",5.0 455.0,/ number1 number0,91.0,"[8, 9, 10, 14, 15, 16, 29, 30, 31]",You want to give your baseball cards to your number0 best friends . You have number1 baseball cards .,"How many would each get , if you share them equally ?"
377,Justin needs number0 paper plates for a birthday party . He already has number1 blue plates and number2 red plates . How many more plates should Justin buy ?,61.0 26.0 7.0,- number0 + number1 number2,28.0,"[1, 2, 3, 12, 13, 14, 16, 17, 18, 25, 26, 27]",Justin needs number0 paper plates for a birthday party . He already has number1 blue plates and number2 red plates .,How many more plates should Justin buy ?
378,"A florist had number0 roses . If she sold number1 of them and then later picked number2 more , how many roses would she have ?",5.0 3.0 34.0,- + number0 number2 number1,36.0,"[2, 3, 4, 8, 9, 10, 15, 16, 17, 22, 23, 24]","A florist had number0 roses . If she sold number1 of them and then later picked number2 more ,",how many roses would she have ?
379,"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",5.0 15.0 8.0,* number0 - number1 number2,35.0,"[7, 8, 9, 17, 18, 19, 22, 23, 24, 34, 35, 36]","At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids ,",how much would it cost for the group to eat ?
380,"Jane ’ s mom picked cherry tomatoes from their backyard . If she gathered number0 cherry tomatoes and is about to place them in small jars which can contain number1 cherry tomatoes at a time , how many jars will she need ?",56.0 8.0,/ number0 number1,7.0,"[12, 13, 14, 27, 28, 29, 38, 39, 40]","Jane ’ s mom picked cherry tomatoes from their backyard . If she gathered number0 cherry tomatoes and is about to place them in small jars which can contain number1 cherry tomatoes at a time ,",how many jars will she need ?
381,number0 dogs are barking . number1 more dogs start to bark . How many dogs are barking ?,30.0 10.0,+ number0 number1,40.0,"[0, 1, 4, 5, 6, 14, 15, 16]",number0 dogs are barking . number1 more dogs start to bark .,How many dogs are barking ?
382,Sean has number0 blocks . number1 are eaten by a hippopotamus . How many blocks will Sean have ?,55.0 29.0,- number0 number1,26.0,"[1, 2, 3, 4, 5, 6, 15, 16, 17]",Sean has number0 blocks . number1 are eaten by a hippopotamus .,How many blocks will Sean have ?
383,"Wendy was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",10.0 6.0 37.0,- + number0 number2 number1,41.0,"[7, 8, 9, 19, 20, 21, 25, 26, 27, 37, 38, 39]","Wendy was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level ,",how many lives would she have ?
384,"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",50.0 5.0 5.0,/ - number0 number1 number1,9.0,"[2, 3, 4, 10, 11, 12, 27, 28, 29, 34, 35, 36]","The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples ,",how many pies could they make ?
385,"Wendy bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",4.0 4.0 6.0,* number2 + number0 number0,48.0,"[1, 2, 3, 5, 6, 7, 15, 16, 17, 32, 33, 34]","Wendy bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together ,",how many minutes did it take her to finish ?
386,Lansing has number0 elementary schools . There are number1 students in each school . How many elementary students are there altogether in Lansing ?,25.0 247.0,* number0 number1,6175.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",Lansing has number0 elementary schools . There are number1 students in each school .,How many elementary students are there altogether in Lansing ?
387,"Marilyn has number0 bananas that must be put away in boxes . Daniel comes to help and brings number1 cookies to share with Marilyn . If there are number2 boxes , how many bananas must go in each box ?",40.0 10.0 8.0,/ number0 number2,5.0,"[1, 2, 3, 17, 18, 19, 27, 28, 29, 36, 37, 38]","Marilyn has number0 bananas that must be put away in boxes . Daniel comes to help and brings number1 cookies to share with Marilyn . If there are number2 boxes ,",how many bananas must go in each box ?
388,"During a canned food drive , items were sorted into bins . The drive resulted in number0 bin of soup , number1 bin of vegetables , and number2 bin of pasta . Altogether , how many bins would the canned food take up ?",0.125 0.125 0.5,+ + number0 number0 number2,0.75,"[15, 16, 17, 20, 21, 22, 26, 27, 28, 40, 41, 42]","During a canned food drive , items were sorted into bins . The drive resulted in number0 bin of soup , number1 bin of vegetables , and number2 bin of pasta . Altogether ,",how many bins would the canned food take up ?
