,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
210,rosa had number0 flowers . andre gave her some more flowers . now rosa has number1 flowers . how many flowers did andre give to rosa ?,67 90,- number1 number0,23.0,"[1, 2, 3, 4, 5, 14, 15, 16, 23, 24, 25]",2,Subtraction,rosa had number0 flowers . andre gave her some more flowers . now rosa has number1 flowers .,how many flowers did andre give to rosa ?
211,adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks . how many did he have to add ?,35 65,- number1 number0,30.0,"[1, 3, 4, 5, 6, 8, 16, 17, 18, 24, 25, 26]",2,Subtraction,adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks .,how many did he have to add ?
212,lucy put number0 shells in her bucket . she found some more shells and now she has number1 shells . how many more did she find ?,68 89,- number1 number0,21.0,"[1, 2, 3, 8, 16, 17, 18, 23, 24, 25]",2,Subtraction,lucy put number0 shells in her bucket . she found some more shells and now she has number1 shells .,how many more did she find ?
213,josh had number0 marbles in his collection . he lost number1 marbles . how many marbles does he have now ?,16 7,- number0 number1,9.0,"[1, 2, 3, 5, 9, 10, 11, 17, 18, 19]",2,Subtraction,josh had number0 marbles in his collection . he lost number1 marbles .,how many marbles does he have now ?
214,megan has number0 seashells . how many more seashells does she need to find to have number1 seashells in her collection ?,19 25,- number1 number0,6.0,"[1, 2, 3, 6, 10, 15, 16, 17, 18, 19, 20]",2,Subtraction,megan has number0 seashells .,how many more seashells does she need to find to have number1 seashells in her collection ?
215,brad has number0 balloons . number1 balloons are red and the rest are green . how many green balloons does brad have ?,17 8,- number0 number1,9.0,"[1, 2, 3, 5, 6, 8, 19, 20, 21]",2,Subtraction,brad has number0 balloons . number1 balloons are red and the rest are green .,how many green balloons does brad have ?
216,there are number0 books on the shelf . marta put number1 more books on the shelf . how many books are on the shelf now ?,38 10,+ number0 number1,48.0,"[1, 2, 3, 6, 9, 10, 11, 12, 22, 23, 24]",2,Addition,there are number0 books on the shelf . marta put number1 more books on the shelf .,how many books are on the shelf now ?
217,mrs. hilt wants to make a border around her garden . she needs number0 rocks to complete the border . she has number1 rocks . how many more rocks does she need to complete the border ?,125 64,- number0 number1,61.0,"[1, 2, 33, 34, 35, 6, 12, 13, 14, 21, 22, 23]",2,Subtraction,mrs. hilt wants to make a border around her garden . she needs number0 rocks to complete the border . she has number1 rocks .,how many more rocks does she need to complete the border ?
218,mrs. hilt had number0 marbles . she lost number1 of them . how many marbles does she have left ?,38 15,- number0 number1,23.0,"[1, 2, 3, 4, 6, 7, 8, 9, 16, 17, 18]",2,Subtraction,mrs. hilt had number0 marbles . she lost number1 of them .,how many marbles does she have left ?
219,mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car . how many miles did they have left to drive ?,78 32 28,- number0 number1,46.0,"[1, 2, 6, 8, 9, 10, 40, 41, 42, 14, 15, 16, 25, 26, 27]",2,Subtraction,mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car .,how many miles did they have left to drive ?
220,mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orange how many of them were red ?,33 20,- number0 number1,13.0,"[2, 3, 4, 17, 18, 19, 27, 28, 29]",2,Subtraction,mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orange,how many of them were red ?
221,on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before . how many raisins were on the table on monday ?,88 8,- number0 number1,80.0,"[32, 1, 33, 3, 4, 5, 6, 34, 15, 16, 17, 18]",2,Subtraction,on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before .,how many raisins were on the table on monday ?
222,mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears . how many reptiles did mrs. hilt see ?,21 11 36 57,+ number0 number1,32.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19]",2,Addition,mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears .,how many reptiles did mrs. hilt see ?
223,zach scored number0 points in the football game . ben scored number1 points . how many more points did zach score ?,42 21,- number0 number1,21.0,"[1, 2, 3, 6, 10, 11, 12, 18, 19, 20]",2,Subtraction,zach scored number0 points in the football game . ben scored number1 points .,how many more points did zach score ?
224,kate has number0 pennies . john has number1 pennies . how many more pennies does john have ?,223 388,- number1 number0,165.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",2,Subtraction,kate has number0 pennies . john has number1 pennies .,how many more pennies does john have ?
225,mark has number0 trees in his backyard . if he plants number1 more how many trees will he have ?,13 12,+ number0 number1,25.0,"[1, 2, 3, 6, 10, 11, 12, 16, 17, 18]",2,Addition,mark has number0 trees in his backyard . if he plants number1 more,how many trees will he have ?
226,dan has $ number0 . he bought a candy bar for $ number1 . how much money is left ?,3.00 1.00,- number0 number1,2.0,"[1, 2, 3, 11, 12, 16, 17, 18]",2,Subtraction,dan has $ number0 . he bought a candy bar for $ number1 .,how much money is left ?
227,charlie has number0 more snowballs than lucy . she has number1 snowballs . how many does charlie have ?,31 19,+ number0 number1,50.0,"[1, 2, 3, 4, 9, 10, 11, 15, 16, 17]",2,Addition,charlie has number0 more snowballs than lucy . she has number1 snowballs .,how many does charlie have ?
228,randy has number0 blocks . he uses number1 blocks to build a tower . how many blocks are left ?,78 19,- number0 number1,59.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,randy has number0 blocks . he uses number1 blocks to build a tower .,how many blocks are left ?
229,gino has number0 brown bears number1 white bears and number2 black bears . how many bears does gino have ?,15 24 27,+ + number0 number1 number2,66.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18]",2,Sum,gino has number0 brown bears number1 white bears and number2 black bears .,how many bears does gino have ?
230,morgan has number0 red pens number1 blue pens and number2 black pens . how many pens does she have ?,65 45 58,+ + number0 number1 number2,168.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18]",2,Sum,morgan has number0 red pens number1 blue pens and number2 black pens .,how many pens does she have ?
231,bryan has number0 skittles . ben has number1 m & m 's . how many more does brian have ?,50 20,- number0 number1,30.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,bryan has number0 skittles . ben has number1 m & m 's .,how many more does brian have ?
232,while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5 how many nails will they have ?,9 2 1 55 1 31,+ + number0 number5 number3,95.0,"[3, 9, 17, 27, 28, 29, 30, 31, 34, 35, 36, 40, 41, 42, 43, 44, 47, 48, 49, 50, 51, 54, 55, 56]",3,Sum,while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5,how many nails will they have ?
233,the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint . how many ounces of paint would they buy in total ?,20 15 34,+ + number0 number1 number2,69.0,"[32, 33, 1, 6, 7, 45, 46, 47, 20, 21, 22, 25, 26, 27, 31]",3,Sum,the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint .,how many ounces of paint would they buy in total ?
234,upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2 how many cookies were eaten in total ?,15 10 5,+ + number0 number1 number2,30.0,"[32, 33, 2, 34, 7, 10, 15, 16, 17, 20, 21, 22, 26, 27, 28]",3,Sum,upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2,how many cookies were eaten in total ?
235,annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought number0 pieces of pepperoni number1 pieces of salami and number2 pieces of bacon as meat ingredients how many pieces of meat did she buy in total ?,15 10 30,+ + number0 number1 number2,55.0,"[65, 2, 66, 67, 41, 42, 43, 45, 46, 47, 50, 51, 52, 20, 26]",3,Sum,annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought number0 pieces of pepperoni number1 pieces of salami and number2 pieces of bacon as meat ingredients,how many pieces of meat did she buy in total ?
236,andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring number0 hotdogs on sticks number1 pieces of bite-sized cheese pops and number2 pieces of chicken nuggets . how many portions of appetizers did andrew bring in all ?,30 20 40,+ + number0 number1 number2,90.0,"[3, 41, 42, 43, 16, 17, 18, 20, 21, 22, 27, 28, 29]",3,Sum,andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring number0 hotdogs on sticks number1 pieces of bite-sized cheese pops and number2 pieces of chicken nuggets .,how many portions of appetizers did andrew bring in all ?
237,annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made number0 glasses of orange juice number1 glasses of grape juice and number2 glasses of apple juice . how many glasses of juice would there be ?,25 15 5,+ + number0 number1 number2,45.0,"[32, 33, 1, 37, 38, 39, 7, 49, 50, 51, 26, 27, 28, 31]",3,Sum,annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made number0 glasses of orange juice number1 glasses of grape juice and number2 glasses of apple juice .,how many glasses of juice would there be ?
238,on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has number0 girl classmates number1 boy classmates and number2 teachers in her class how many people attended her birthday party ?,15 20 3,+ + number0 number1 number2,38.0,"[2, 37, 38, 39, 20, 21, 22, 23, 24, 25, 27, 28, 29]",3,Sum,on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has number0 girl classmates number1 boy classmates and number2 teachers in her class,how many people attended her birthday party ?
239,the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has number0 chewing gums sam has number1 chewing gums and sue has number2 chewing gums how many chewing gums did the number3 have in all ?,5 10 15 3,+ + number0 number1 number2,30.0,"[2, 7, 13, 18, 24, 33, 34, 35, 36, 38, 39, 40, 41, 44, 45, 46, 47, 53, 54, 55, 56, 57]",3,Sum,the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has number0 chewing gums sam has number1 chewing gums and sue has number2 chewing gums,how many chewing gums did the number3 have in all ?
240,the friends then proceeded to the rest of the houses in their village . however sam had to go home earlier . she got her share of candies which are composed of number0 chewing gums number1 chocolate bars and number2 assorted fruit candies . how many candies did she get in total ?,10 15 20,+ + number0 number1 number2,45.0,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 1, 42, 5, 49, 18, 50, 51, 31]",3,Sum,the friends then proceeded to the rest of the houses in their village . however sam had to go home earlier . she got her share of candies which are composed of number0 chewing gums number1 chocolate bars and number2 assorted fruit candies .,how many candies did she get in total ?
241,after sam and bob left mary john and sue decided to go home as well . they counted the total amount of treats that the number0 of them got . they were able to sort out number1 chewing gums number2 chocolate bars and another number3 candies of different flavors . how many treats did mary john and sue have in total ?,3 60 55 40,+ + number1 number2 number3,155.0,"[35, 36, 37, 38, 39, 40, 41, 4, 43, 44, 45, 58, 24, 25, 26, 59, 60]",3,Sum,after sam and bob left mary john and sue decided to go home as well . they counted the total amount of treats that the number0 of them got . they were able to sort out number1 chewing gums number2 chocolate bars and another number3 candies of different flavors .,how many treats did mary john and sue have in total ?
242,it is easter time and the kids in the neighborhood of easterville are very excited about the annual easter egg hunt . the parents have decided to hide the eggs in a lot of different places . they hid number0 eggs around the club house number1 eggs around the village park and number2 eggs in the town hall garden . how many eggs were hidden in total ?,55 33 22,+ + number0 number1 number2,110.0,"[64, 1, 65, 66, 5, 38, 39, 40, 44, 45, 46, 51, 52, 53]",3,Sum,it is easter time and the kids in the neighborhood of easterville are very excited about the annual easter egg hunt . the parents have decided to hide the eggs in a lot of different places . they hid number0 eggs around the club house number1 eggs around the village park and number2 eggs in the town hall garden .,how many eggs were hidden in total ?
243,joe number0 of the best easter egg hunters found number1 eggs around the club house number2 eggs around the park and number3 eggs in the town hall garden . how many eggs did joe find ?,1 12 5 3,+ + number1 number2 number3,20.0,"[0, 1, 2, 32, 33, 5, 34, 8, 9, 10, 14, 15, 16, 20, 21, 22]",3,Sum,joe number0 of the best easter egg hunters found number1 eggs around the club house number2 eggs around the park and number3 eggs in the town hall garden .,how many eggs did joe find ?
244,the rest of the kids around town got number0 more eggs around the club house number1 eggs around the park and number2 eggs in the town hall garden . if we add all the eggs that they got how many eggs would that be ?,13 9 8,+ + number0 number2 number1,30.0,"[2, 7, 8, 9, 10, 41, 42, 43, 14, 15, 16, 20, 21, 22]",3,Sum,the rest of the kids around town got number0 more eggs around the club house number1 eggs around the park and number2 eggs in the town hall garden . if we add all the eggs that they got,how many eggs would that be ?
245,if the all the participants found a total number0 eggs from the club house number1 eggs from the park and number2 eggs from the town hall how many easter eggs were found that day ?,40 25 15,+ + number0 number1 number2,80.0,"[32, 33, 5, 7, 8, 9, 13, 14, 15, 19, 20, 21, 27, 31]",3,Sum,if the all the participants found a total number0 eggs from the club house number1 eggs from the park and number2 eggs from the town hall,how many easter eggs were found that day ?
246,penny 's class is going to animaland the largest zoo on earth for their science field trip . the zoo has a variety of wild animals in captivity . their first destination was the aviary . the aviary has number0 species of eagles on show that day . they have number1 bald eagles number2 harpy eagles and number3 crowned eagles . how many eagles are on display that day ?,3 20 15 30,+ + number1 number2 number3,65.0,"[1, 2, 5, 10, 38, 39, 40, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 66, 67, 68]",3,Sum,penny 's class is going to animaland the largest zoo on earth for their science field trip . the zoo has a variety of wild animals in captivity . their first destination was the aviary . the aviary has number0 species of eagles on show that day . they have number1 bald eagles number2 harpy eagles and number3 crowned eagles .,how many eagles are on display that day ?
247,after the aviary was the zoo 's swamp area . penny counted a total of number0 tree frogs number1 poison frogs and number2 wood frogs . how many frogs was penny able to count ?,55 10 13,+ + number0 number1 number2,78.0,"[32, 1, 33, 5, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 31]",3,Sum,after the aviary was the zoo 's swamp area . penny counted a total of number0 tree frogs number1 poison frogs and number2 wood frogs .,how many frogs was penny able to count ?
248,aside from frogs the swamp area is also home to a few dangerous animals . penny 's teacher pointed out number0 crocodiles number1 alligators and number2 vipers . how many dangerous animals did the teacher point out in total ?,22 23 5,+ + number0 number1 number2,50.0,"[3, 36, 37, 38, 19, 20, 21, 22, 23, 24, 25, 26]",3,Sum,aside from frogs the swamp area is also home to a few dangerous animals . penny 's teacher pointed out number0 crocodiles number1 alligators and number2 vipers .,how many dangerous animals did the teacher point out in total ?
249,next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture number0 species of butterflies number1 species of ants and number2 species of other insects . how many species of insects did penny capture ?,60 15 20,+ + number0 number1 number2,95.0,"[32, 33, 1, 35, 36, 37, 4, 7, 40, 41, 42, 11, 10, 52, 53, 54, 31]",3,Sum,next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture number0 species of butterflies number1 species of ants and number2 species of other insects .,how many species of insects did penny capture ?
250,last stop in their field trip was the aquarium . penny identified number0 species of sharks number1 species of eels and number2 different species of whales . how many species was penny able to identify ?,35 15 5,+ + number0 number1 number2,55.0,"[32, 1, 33, 34, 5, 11, 12, 13, 15, 16, 17, 20, 21, 22, 23]",3,Sum,last stop in their field trip was the aquarium . penny identified number0 species of sharks number1 species of eels and number2 different species of whales .,how many species was penny able to identify ?
251,marcus and his friends are starting a recycling project to help the school raise some money for charity . they were tasked to collect different materials and create useful things from those . if marcus was able to gather number0 milk bottles and john was able to gather number1 milk bottles how many milk bottles do they have available for recycling ?,25 20,+ number1 number0,45.0,"[5, 38, 39, 40, 41, 14, 47, 48, 49, 50, 19, 25, 58, 59, 60]",3,Addition,marcus and his friends are starting a recycling project to help the school raise some money for charity . they were tasked to collect different materials and create useful things from those . if marcus was able to gather number0 milk bottles and john was able to gather number1 milk bottles,how many milk bottles do they have available for recycling ?
252,chris tasked to lead the newspaper collection was able to obtain number0 newspapers from their neighborhood . if his sister lily helped him and was able to get number1 more newspapers from another block how many newspapers were they able to collect together ?,42 23,+ number0 number1,65.0,"[40, 41, 10, 11, 12, 42, 18, 22, 27, 28, 29, 30]",3,Addition,chris tasked to lead the newspaper collection was able to obtain number0 newspapers from their neighborhood . if his sister lily helped him and was able to get number1 more newspapers from another block,how many newspapers were they able to collect together ?
253,andy another part of the recycling team decided he would gather tin foil wrappers . if he was able to pick up number0 wrappers around the village dumpster and his best friend max was able to collect number1 how many wrappers were gathered in total ?,34 15,+ number0 number1,49.0,"[36, 37, 38, 5, 10, 42, 43, 44, 21, 22, 23, 24]",3,Addition,andy another part of the recycling team decided he would gather tin foil wrappers . if he was able to pick up number0 wrappers around the village dumpster and his best friend max was able to collect number1,how many wrappers were gathered in total ?
254,after collecting materials they started making recycled products to sell during the school 's recycling fair . if marcus made number0 pen holders from the milk bottles and annie was able to make number1 how many pen holders were made ?,26 37,+ number0 number1,63.0,"[32, 33, 34, 2, 37, 38, 39, 18, 19, 20, 21, 22]",3,Addition,after collecting materials they started making recycled products to sell during the school 's recycling fair . if marcus made number0 pen holders from the milk bottles and annie was able to make number1,how many pen holders were made ?
255,if the group was able to make number0 recycled materials from what they gathered and the teachers were able to make number1 how many recycled products will they be able to sell at the fair ?,65 28,+ number0 number1,93.0,"[32, 33, 34, 6, 7, 8, 9, 20, 21, 22]",3,Addition,if the group was able to make number0 recycled materials from what they gathered and the teachers were able to make number1,how many recycled products will they be able to sell at the fair ?
256,robyn and lucy are members of their village 's girl scout troop . during weekends and some weekdays they go around selling cookies in the neighborhood . they have a week before the month ends and they are doing their best to get a badge from selling cookies . working overtime robyn sold number0 packs of cookies while lucy sold number1 how many packs of cookies were they able to sell that day ?,47 29,+ number0 number1,76.0,"[1, 3, 70, 7, 71, 72, 52, 53, 54, 59, 60, 61]",3,Addition,robyn and lucy are members of their village 's girl scout troop . during weekends and some weekdays they go around selling cookies in the neighborhood . they have a week before the month ends and they are doing their best to get a badge from selling cookies . working overtime robyn sold number0 packs of cookies while lucy sold number1 how,many packs of cookies were they able to sell that day ?
257,because of an upcoming exam robyn will not be able to sell cookies on tuesday . to make up for it lucy decided to do double the work to catch up . she sold number0 cookies on her first round and number1 on her second round . how many cookies were sold by lucy ?,34 27,+ number0 number1,61.0,"[33, 34, 35, 1, 40, 41, 42, 11, 51, 52, 53]",3,Addition,because of an upcoming exam robyn will not be able to sell cookies on tuesday . to make up for it lucy decided to do double the work to catch up . she sold number0 cookies on her first round and number1 on her second round .,how many cookies were sold by lucy ?
258,still a little behind robyn asked her mother to drive them around town on wednesday to cover more houses . that day robyn sold number0 packs of cookies while lucy sold number1 how many packs were they able to sell that day ?,55 43,+ number0 number1,98.0,"[32, 1, 3, 5, 39, 40, 41, 23, 24, 25, 30, 31]",3,Addition,still a little behind robyn asked her mother to drive them around town on wednesday to cover more houses . that day robyn sold number0 packs of cookies while lucy sold number1 how,many packs were they able to sell that day ?
259,with the end of the month coming in number0 days they decided to sell cookies to the neighboring villages as well . if they sold number1 packs on number2 village and number3 on the other how many cookies were they able to sell in the other villages ?,2 23 1 28,+ number1 number3,51.0,"[32, 2, 7, 8, 9, 44, 45, 46, 24, 25, 26, 27, 28, 29, 30, 31]",3,Addition,with the end of the month coming in number0 days they decided to sell cookies to the neighboring villages as well . if they sold number1 packs on number2 village and number3 on the other,how many cookies were they able to sell in the other villages ?
260,on the day of the awarding ceremony robyn and lucy decided to sell more cookies during the morning to make sure they get the badge . lucy sold number0 packs and robyn sold number1 how many packs did they sell on their last day ?,19 16,+ number0 number1,35.0,"[32, 33, 34, 1, 5, 41, 42, 43, 27, 28, 29]",3,Addition,on the day of the awarding ceremony robyn and lucy decided to sell more cookies during the morning to make sure they get the badge . lucy sold number0 packs and robyn sold number1 how,many packs did they sell on their last day ?
261,it 's earth awareness day and the town of flora is celebrating by planting trees in areas where the forest has been damaged . mayor fauna leader of the town of flora donated number0 oak tree seedlings and number1 seedlings of holly . how many seedlings did he donate altogether ?,27 16,+ number0 number1,43.0,"[32, 33, 34, 1, 36, 37, 38, 39, 8, 5, 47, 48, 49]",3,Addition,it 's earth awareness day and the town of flora is celebrating by planting trees in areas where the forest has been damaged . mayor fauna leader of the town of flora donated number0 oak tree seedlings and number1 seedlings of holly .,how many seedlings did he donate altogether ?
262,mr. fortree a businessman also gave seedlings for the tree planting activity . if he gave number0 seedlings of cedar and number1 seedlings of pine how many seedlings did he give in total ?,14 38,+ number0 number1,52.0,"[32, 2, 5, 13, 15, 16, 17, 20, 21, 22, 30, 31]",3,Addition,mr. fortree a businessman also gave seedlings for the tree planting activity . if he gave number0 seedlings of cedar and number1 seedlings of pine,how many seedlings did he give in total ?
263,students from flora middle school were asked to participate in the event . they planted number0 apple trees and number1 orange trees in the forest near their school . how many trees in total did the students plant ?,47 27,+ number0 number1,74.0,"[1, 35, 36, 37, 7, 8, 14, 15, 16, 17, 18, 19, 20, 21]",3,Addition,students from flora middle school were asked to participate in the event . they planted number0 apple trees and number1 orange trees in the forest near their school .,how many trees in total did the students plant ?
264,rangers from flora natural park and wildlife reserve also joined the activities on that day . they planted number0 redwood trees and number1 cypress trees to replace the trees that were destroyed during a recent forest fire . how many trees did the rangers plant ?,75 25,+ number1 number0,100.0,"[1, 6, 10, 42, 43, 44, 17, 18, 19, 20, 21, 22, 23, 24]",3,Addition,rangers from flora natural park and wildlife reserve also joined the activities on that day . they planted number0 redwood trees and number1 cypress trees to replace the trees that were destroyed during a recent forest fire .,how many trees did the rangers plant ?
265,professor treehead of the flora university requested his students to participate . he said that they planted number0 species of trees in the natural park number1 species of trees in the neighboring forest and number2 species of trees all around different locations in town . how many species of trees were planted by the students ?,15 20 10,+ + number0 number2 number1,45.0,"[33, 34, 35, 4, 1, 16, 17, 18, 52, 53, 54, 24, 25, 26]",3,Sum,professor treehead of the flora university requested his students to participate . he said that they planted number0 species of trees in the natural park number1 species of trees in the neighboring forest and number2 species of trees all around different locations in town .,how many species of trees were planted by the students ?
266,hazel and her father both love going on fishing trips . this year they planned to go around the great lakes for a unique fishing experience . their first stop is lake ontario . hazel and her father decided to have a contest between them . if hazel caught number0 salmons and her dad caught number1 how many salmons did they catch in total ?,24 27,+ number0 number1,51.0,"[2, 11, 15, 48, 49, 50, 54, 55, 56, 61, 62, 63]",3,Addition,hazel and her father both love going on fishing trips . this year they planned to go around the great lakes for a unique fishing experience . their first stop is lake ontario . hazel and her father decided to have a contest between them . if hazel caught number0 salmons and her dad caught number1,how many salmons did they catch in total ?
267,their next destination is lake erie . still in a contest hazel caught number0 different fishes while her father caught number1 how many fishes did they catch in lake erie ?,48 46,+ number0 number1,94.0,"[1, 5, 7, 12, 13, 14, 15, 19, 20, 21, 27, 28, 29]",3,Addition,their next destination is lake erie . still in a contest hazel caught number0 different fishes while her father caught number1 how,many fishes did they catch in lake erie ?
268,the following week they decided to go to lake huron and lake michigan . during their stay there they caught a total of number0 pikes number1 sturgeons and number2 herrings . how many fishes did they catch from the number3 lakes ?,30 40 75 2,+ + number0 number1 number2,145.0,"[38, 39, 40, 22, 23, 24, 25, 26, 27, 28, 29]",3,Sum,the following week they decided to go to lake huron and lake michigan . during their stay there they caught a total of number0 pikes number1 sturgeons and number2 herrings .,how many fishes did they catch from the number3 lakes ?
269,being concerned with the ecology of lakes hazel and her dad returned the youngling fishes they caught . if they took number0 fishes from lake ontario and erie number1 fishes from lake huron and michigan and number2 from lake superior how many fishes will they bring home with them ?,23 30 44,+ + number0 number1 number2,97.0,"[2, 35, 36, 37, 11, 46, 47, 48, 20, 21, 22, 23, 27, 28, 29]",3,Sum,being concerned with the ecology of lakes hazel and her dad returned the youngling fishes they caught . if they took number0 fishes from lake ontario and erie number1 fishes from lake huron and michigan and number2 from lake superior,how many fishes will they bring home with them ?
270,it is buddy 's first day at a new school and he is feeling very nervous . his day begins with some bacon and egg prepared by his mother . after eating and preparing buddy headed out to catch the school bus from the nearest bus stop . including buddy there were number0 students that got on the bus during the first stop . if number1 more students got on the bus at the second stop how many students are riding the bus ?,39 29,+ number0 number1,68.0,"[64, 65, 66, 67, 3, 2, 4, 13, 16, 80, 81, 51, 52, 53, 82]",3,Addition,it is buddy 's first day at a new school and he is feeling very nervous . his day begins with some bacon and egg prepared by his mother . after eating and preparing buddy headed out to catch the school bus from the nearest bus stop . including buddy there were number0 students that got on the bus during the first stop . if number1 more students got on the bus at the second stop,how many students are riding the bus ?
271,upon arriving at the school buddy immediately went to his teacher where he was introduced to all the third grade students in the school . there were number0 girl students and number1 boy students . how many third graders did buddy meet in the school ?,57 66,+ number0 number1,123.0,"[32, 1, 42, 43, 44, 26, 27, 28, 29, 30, 31]",3,Addition,upon arriving at the school buddy immediately went to his teacher where he was introduced to all the third grade students in the school . there were number0 girl students and number1 boy students .,how many third graders did buddy meet in the school ?
272,after recess buddy changed clothes for gym class . down at the gym all the students were divided into number0 groups . if number1 group has number2 members and the other has number3 how many students are in buddy 's gym class ?,2 1 34 37,+ number2 number3,71.0,"[32, 33, 3, 39, 40, 41, 18, 19, 20, 22, 23, 24, 25, 26, 27, 31]",3,Addition,after recess buddy changed clothes for gym class . down at the gym all the students were divided into number0 groups . if number1 group has number2 members and the other has number3,how many students are in buddy 's gym class ?
273,after the final bell rang buddy ran to the school bus with his new friends . on his ride home he counted number0 students sitting on the left side of the bus and number1 sitting on the right . how many students are on the bus ride home ?,36 27,+ number0 number1,63.0,"[32, 33, 34, 1, 5, 7, 45, 46, 47, 21, 22, 23]",3,Addition,after the final bell rang buddy ran to the school bus with his new friends . on his ride home he counted number0 students sitting on the left side of the bus and number1 sitting on the right .,how many students are on the bus ride home ?
274,helen the hippo and her friends are preparing for thanksgiving at helen 's house . helen baked number0 chocolate chip cookies yesterday and number1 cookies this morning . how many cookies did helen bake ?,435 139,+ number0 number1,574.0,"[32, 1, 33, 5, 16, 17, 18, 20, 22, 23, 24, 31]",3,Addition,helen the hippo and her friends are preparing for thanksgiving at helen 's house . helen baked number0 chocolate chip cookies yesterday and number1 cookies this morning .,how many cookies did helen bake ?
275,pinky the pig bought number0 apples while danny the duck bought number1 how many apples do they have altogether ?,36 73,+ number0 number1,109.0,"[1, 3, 4, 5, 10, 11, 12, 16, 17, 18]",3,Addition,pinky the pig bought number0 apples while danny the duck bought number1 how,many apples do they have altogether ?
276,dylan the dog prepared number0 hotdog sticks in a brown bag . his father placed number1 more hotdog sticks in the same brown bag . how many hotdog sticks did dylan and his father place in the brown bag ?,241 426,+ number0 number1,667.0,"[1, 2, 3, 4, 5, 6, 36, 37, 38, 14, 15, 16, 18]",3,Addition,dylan the dog prepared number0 hotdog sticks in a brown bag . his father placed number1 more hotdog sticks in the same brown bag .,how many hotdog sticks did dylan and his father place in the brown bag ?
277,helen 's mother brought number0 hotdogs . after a few hours dylan 's mother arrived with number1 hotdogs . how many hotdogs do they have altogether ?,101 379,+ number0 number1,480.0,"[1, 3, 4, 5, 15, 16, 17, 23, 24, 25]",3,Addition,helen 's mother brought number0 hotdogs . after a few hours dylan 's mother arrived with number1 hotdogs .,how many hotdogs do they have altogether ?
