,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
153,winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away to africa and number2 bird families flew away to asia how many more bird families flew away to africa than those that flew away to asia ?,8 42 31,- number1 number2,11.0,"[32, 33, 34, 1, 4, 12, 14, 15, 16, 17, 18, 52, 21, 53, 23, 24, 25, 26, 54, 31]",Subtraction,"21, 11",winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away to africa and number2 bird families flew away to asia,how many more bird families flew away to africa than those that flew away to asia ?,,
154,winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away to africa and number2 bird families flew away to asia how many more bird families flew away to asia than those that flew away to africa ?,38 47 94,- number2 number1,47.0,"[32, 33, 34, 1, 4, 12, 14, 15, 16, 17, 18, 52, 21, 53, 23, 24, 25, 26, 54, 31]",Subtraction,"21, 11",winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away to africa and number2 bird families flew away to asia,how many more bird families flew away to asia than those that flew away to africa ?,,
155,winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away to africa and number2 bird families flew away to asia how many bird families flew away for the winter ?,18 38 80,+ number1 number2,118.0,"[32, 33, 34, 1, 4, 12, 45, 14, 15, 16, 17, 46, 47, 20, 23, 24, 25, 26, 31]",Addition,"21, 11",winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away to africa and number2 bird families flew away to asia,how many bird families flew away for the winter ?,,
156,summer is almost here and most animals are migrating back to cooler countries . there are number0 bird families living near a mountain . if number1 new bird families joined them how many bird families live near the mountain now ?,87 18,+ number0 number1,105.0,"[1, 2, 5, 37, 38, 8, 39, 11, 15, 16, 17, 18, 24, 25, 26, 28]",Addition,22,summer is almost here and most animals are migrating back to cooler countries . there are number0 bird families living near a mountain . if number1 new bird families joined them,how many bird families live near the mountain now ?,,
157,winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . number1 bird families flew away for winter and number2 new bird families came to live near the mountain from the arctic . how many bird families were left near the mountain ?,49 59 24,+ - number0 number1 number2,14.0,"[32, 1, 34, 3, 9, 12, 14, 15, 16, 17, 51, 52, 53, 23, 24, 25, 30, 31]",Addition,21,winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . number1 bird families flew away for winter and number2 new bird families came to live near the mountain from the arctic .,how many bird families were left near the mountain ?,,
158,winter is almost here and most animals are migrating to warmer countries . number0 bird families flew away for the winter from near a mountain . if there were number1 bird families living near the mountain initially how many bird families were left near the mountain ?,27 41,- number1 number0,14.0,"[2, 3, 43, 12, 13, 14, 15, 44, 45, 28, 29, 30, 31]",Subtraction,32,winter is almost here and most animals are migrating to warmer countries . number0 bird families flew away for the winter from near a mountain . if there were number1 bird families living near the mountain initially,how many bird families were left near the mountain ?,,
159,winter is almost here and most animals are migrating to warmer countries . number0 bird families flew away for the winter from near a mountain . if there were number1 bird families living near the mountain initially how many more bird families flew away for the winter than those that stayed behind ?,86 45,- number0 - number1 number0,127.0,"[2, 3, 12, 13, 14, 15, 16, 49, 50, 51, 28, 29, 30, 31]",Subtraction,"11, 32",winter is almost here and most animals are migrating to warmer countries . number0 bird families flew away for the winter from near a mountain . if there were number1 bird families living near the mountain initially,how many more bird families flew away for the winter than those that stayed behind ?,,
160,winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away to asia and number2 bird families flew away to africa how many more bird families flew away to africa than those that flew away to asia ?,41 35 62,- number2 number1,27.0,"[32, 33, 34, 1, 4, 12, 14, 15, 16, 17, 18, 52, 21, 53, 23, 24, 25, 26, 54, 31]",Subtraction,"21, 11, 31",winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away to asia and number2 bird families flew away to africa,how many more bird families flew away to africa than those that flew away to asia ?,,
161,winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . number1 new bird families came to live near the mountain from the arctic while number2 bird families flew away further south for winter . how many bird families were left near the mountain ?,3 26 2,+ - number0 number2 number1,27.0,"[1, 36, 37, 38, 39, 4, 14, 15, 16, 17, 53, 54, 23, 24, 55, 26]",Addition,"21, 32",winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . number1 new bird families came to live near the mountain from the arctic while number2 bird families flew away further south for winter .,how many bird families were left near the mountain ?,,
162,paul got a box of number0 crayons for his birthday . by the end of the school year he had either lost or given away number1 of them . how many crayons did he have left by the end of the school year ?,253 70,- number0 number1,183.0,"[1, 4, 5, 6, 40, 41, 42, 24, 25, 26]",Subtraction,23,paul got a box of number0 crayons for his birthday . by the end of the school year he had either lost or given away number1 of them .,how many crayons did he have left by the end of the school year ?,,
163,paul got a box of some crayons for his birthday . by the end of the school year he had either lost or given away number0 of them and only had number1 left . how many crayons did he get for his birthday ?,551 177,- number0 number1,374.0,"[32, 40, 41, 42, 19, 24, 25, 26, 30, 31]",Subtraction,23,paul got a box of some crayons for his birthday . by the end of the school year he had either lost or given away number0 of them and only had number1 left .,how many crayons did he get for his birthday ?,,
164,paul got a box of number0 crayons for his birthday . during the school year he gave number1 crayons to his friends while he lost number2 crayons . how many crayons did he have left ?,440 111 106,- number0 + number1 number2,223.0,"[32, 1, 33, 34, 4, 5, 6, 13, 16, 17, 18, 24, 25, 26]",Subtraction,22,paul got a box of number0 crayons for his birthday . during the school year he gave number1 crayons to his friends while he lost number2 crayons .,how many crayons did he have left ?,,
165,paul got a box of number0 crayons for his birthday . during the school year he gave number1 crayons to his friends while he lost number2 crayons . how many crayons had been lost or given away ?,65 213 16,+ number1 number2,229.0,"[1, 34, 35, 4, 5, 6, 36, 13, 16, 17, 18, 24, 25, 26]",Addition,22,paul got a box of number0 crayons for his birthday . during the school year he gave number1 crayons to his friends while he lost number2 crayons .,how many crayons had been lost or given away ?,,
166,paul got a box of number0 crayons for his birthday . during the school year he gave number1 crayons to his friends while he lost number2 crayons . how many more crayons did he give to his friends than those he lost ?,589 571 161,- number1 number2,410.0,"[1, 2, 4, 5, 6, 39, 40, 41, 13, 16, 17, 18, 24, 25, 26]",Subtraction,"22, 11",paul got a box of number0 crayons for his birthday . during the school year he gave number1 crayons to his friends while he lost number2 crayons .,how many more crayons did he give to his friends than those he lost ?,,
167,paul got a box of number0 crayons for his birthday . during the school year he gave number1 crayons to his friends while he lost number2 crayons . how many more crayons did he lose than those he gave to his friends ?,110 90 412,- number2 number1,322.0,"[1, 2, 4, 5, 6, 39, 40, 41, 13, 16, 17, 18, 24, 25, 26]",Subtraction,"22, 11",paul got a box of number0 crayons for his birthday . during the school year he gave number1 crayons to his friends while he lost number2 crayons .,how many more crayons did he lose than those he gave to his friends ?,,
168,paul got a box of some crayons for his birthday . during the school year he gave number0 crayons to his friends while he lost number1 crayons . if he only had number2 crayons left how many crayons did he get for his birthday ?,563 558 332,+ + number0 number1 number2,1453.0,"[32, 33, 3, 5, 6, 8, 41, 42, 43, 13, 16, 17, 18, 24, 25, 26, 31]",Addition,"22, 23",paul got a box of some crayons for his birthday . during the school year he gave number0 crayons to his friends while he lost number1 crayons . if he only had number2 crayons left,how many crayons did he get for his birthday ?,,
169,paul got a box of some crayons for his birthday . during the school year he gave number0 crayons to his friends while he lost number1 crayons . if he only had number2 crayons left how many crayons had been lost or given away ?,52 535 492,+ number0 number1,587.0,"[32, 33, 3, 5, 8, 41, 42, 43, 13, 16, 17, 18, 24, 25, 26, 31]",Addition,22,paul got a box of some crayons for his birthday . during the school year he gave number0 crayons to his friends while he lost number1 crayons . if he only had number2 crayons left,how many crayons had been lost or given away ?,,
170,paul got a box of number0 crayons and number1 erasers for his birthday . at the end of the school year he only had number2 left while not having lost a single erasers . how many crayons had been lost or given away ?,521 66 154,- number0 number2,367.0,"[1, 4, 5, 6, 7, 8, 9, 40, 41, 42, 23, 24, 25, 29, 31]",Subtraction,33,paul got a box of number0 crayons and number1 erasers for his birthday . at the end of the school year he only had number2 left while not having lost a single erasers .,how many crayons had been lost or given away ?,,
171,paul got a box of number0 crayons and number1 erasers for his birthday . at the end of the school year he only had number2 left while not having lost a single erasers . how many more crayons than erasers did he have left ?,531 38 391,- number2 number1,353.0,"[1, 2, 4, 5, 6, 7, 8, 9, 41, 42, 43, 23, 24, 25, 29, 31]",Subtraction,"33, 11",paul got a box of number0 crayons and number1 erasers for his birthday . at the end of the school year he only had number2 left while not having lost a single erasers .,how many more crayons than erasers did he have left ?,,
172,paul got a box of number0 crayons and number1 erasers for his birthday . at the end of the school year he only had number2 left while not having lost a single erasers . how many more erasers than crayons did he have left ?,601 406 336,- number1 number2,70.0,"[1, 2, 4, 5, 6, 7, 8, 9, 41, 42, 43, 23, 24, 25, 29, 31]",Subtraction,"33, 11",paul got a box of number0 crayons and number1 erasers for his birthday . at the end of the school year he only had number2 left while not having lost a single erasers .,how many more erasers than crayons did he have left ?,,
173,paul got a box of some crayons for his birthday . by the end of the school year he only had number0 left since he had either lost or given away number1 of them . how many crayons did he get for his birthday ?,291 315,- number1 number0,24.0,"[32, 41, 42, 43, 20, 21, 22, 30, 31]",Subtraction,"23, 32",paul got a box of some crayons for his birthday . by the end of the school year he only had number0 left since he had either lost or given away number1 of them .,how many crayons did he get for his birthday ?,,
174,paul got a box of number0 crayons for his birthday . during the school year he lost number1 crayons while he gave away number2 crayons to his friends . how many more crayons did he give to his friends than those he lost ?,267 231 308,- number2 number1,77.0,"[1, 2, 4, 5, 6, 40, 41, 10, 42, 16, 17, 18, 22, 23, 24]",Subtraction,"22, 11, 31",paul got a box of number0 crayons for his birthday . during the school year he lost number1 crayons while he gave away number2 crayons to his friends .,how many more crayons did he give to his friends than those he lost ?,,
175,paul got a box of number0 erasers and number1 crayons for his birthday . at the end of the school year he only had number2 left while not having lost a single erasers . how many more crayons than erasers did he have left ?,457 320 523,- number2 number0,66.0,"[1, 2, 4, 5, 6, 7, 8, 9, 41, 42, 43, 23, 24, 25, 29, 31]",Subtraction,"33, 11, 31",paul got a box of number0 erasers and number1 crayons for his birthday . at the end of the school year he only had number2 left while not having lost a single erasers .,how many more crayons than erasers did he have left ?,,
176,a waiter had number0 customers . after some left he still had number1 customers . how many more customers left than those that stayed behind ?,11 3,- - number0 number1 number1,5.0,"[1, 2, 3, 4, 5, 11, 12, 13, 22, 23, 24]",Subtraction,11,a waiter had number0 customers . after some left he still had number1 customers .,how many more customers left than those that stayed behind ?,,
177,a waiter had number0 customers . after some left he still had number1 customers . how many more customers stayed behind than those that left ?,3 4,- number1 - number0 number1,5.0,"[1, 2, 3, 4, 5, 11, 12, 13, 22, 23, 24]",Subtraction,11,a waiter had number0 customers . after some left he still had number1 customers .,how many more customers stayed behind than those that left ?,,
178,a waiter had some customers . after number0 customers left he still had number1 customers . how many customers did he have at the start ?,9 12,+ number0 number1,21.0,"[1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 22, 23, 24]",Addition,23,a waiter had some customers . after number0 customers left he still had number1 customers .,how many customers did he have at the start ?,,
179,a waiter had number0 customers . number1 customers left . how many customers does he still have ?,14 5,- number0 number1,9.0,"[1, 2, 3, 4, 6, 7, 14, 15, 16]",Subtraction,23,a waiter had number0 customers . number1 customers left .,how many customers does he still have ?,,
180,a waiter had number0 customers . after some left he got number1 new customers . if he still had number2 customers how many customers left ?,13 4 9,- number0 - number2 number1,8.0,"[2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 18, 19, 20, 22, 23, 24]",Subtraction,21,a waiter had number0 customers . after some left he got number1 new customers . if he still had number2 customers,how many customers left ?,,
181,a waiter had number0 customers . while number1 customers left he got number2 new customers . how many customers does he still have ?,12 15 14,+ - number0 number1 number2,11.0,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 20, 21, 22]",Addition,"21, 23",a waiter had number0 customers . while number1 customers left he got number2 new customers .,how many customers does he still have ?,,
182,a waiter had number0 customers . after some more arrived he had number1 customers . how many new customers arrived ?,3 8,- number1 number0,5.0,"[1, 2, 3, 4, 5, 11, 12, 13, 17, 18, 19]",Subtraction,22,a waiter had number0 customers . after some more arrived he had number1 customers .,how many new customers arrived ?,,
183,a waiter had number0 customers . after some left he still had number1 customers . then he got number2 new customers how many customers left ?,8 5 99,- number0 number1,3.0,"[2, 3, 4, 5, 7, 9, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24]",Subtraction,33,a waiter had number0 customers . after some left he still had number1 customers . then he got number2 new customers,how many customers left ?,,
184,a waiter had number0 customers . after some left he still had number1 customers . then he got number2 new customers how many customers does he have now ?,12 14 10,+ number1 number2,24.0,"[2, 3, 4, 5, 7, 11, 12, 13, 17, 18, 19, 20, 25, 26, 27]",Addition,"33, 11",a waiter had number0 customers . after some left he still had number1 customers . then he got number2 new customers,how many customers does he have now ?,,
185,dan has $ number0 left with him after he bought a candy bar for $ number1 . how much money did he have initially ?,3 2,+ number0 number1,5.0,"[1, 2, 3, 4, 14, 15, 21, 22, 23]",Addition,23,dan has $ number0 left with him after he bought a candy bar for $ number1 .,how much money did he have initially ?,,
186,dan has $ number0 . he had $ number1 left with him after he bought a candy bar . how much did the candy bar cost ?,4 3,- number0 number1,1.0,"[1, 2, 3, 6, 7, 8, 9, 23, 24, 25]",Subtraction,23,dan has $ number0 . he had $ number1 left with him after he bought a candy bar .,how much did the candy bar cost ?,,
187,dan has $ number0 . he bought number1 candy bar for $ number2 each one costing the same amount of money . how much money is left ?,4 99 3,- number0 number2,1.0,"[1, 2, 3, 6, 7, 8, 9, 11, 12, 13, 24, 25, 26]",Subtraction,22,dan has $ number0 . he bought number1 candy bar for $ number2 each one costing the same amount of money .,how much money is left ?,,
188,dan has $ number0 . he bought number1 candy bar for $ number2 each one costing the same amount of money . how much did each candy bar cost ?,3 2 4,/ number2 number1,2.0,"[1, 2, 3, 6, 7, 8, 9, 11, 12, 13, 25, 26, 27, 28]",Common-Division,"22, 11",dan has $ number0 . he bought number1 candy bar for $ number2 each one costing the same amount of money .,how much did each candy bar cost ?,,
189,dan has $ number0 . he bought some candy bar for $ number1 each one costing $ number2 . how many candy bar did he buy ?,2 6 3,/ number1 number2,2.0,"[1, 2, 3, 11, 12, 13, 15, 16, 17, 23, 24, 25]",Common-Division,22,dan has $ number0 . he bought some candy bar for $ number1 each one costing $ number2 .,how many candy bar did he buy ?,,
190,dan has $ number0 . he bought a candy bar for $ number1 and a chocolate for $ number2 . how much money is left ?,7 2 3,- number0 + number1 number2,2.0,"[1, 2, 3, 11, 12, 13, 17, 18, 22, 23, 24]",Subtraction,21,dan has $ number0 . he bought a candy bar for $ number1 and a chocolate for $ number2 .,how much money is left ?,,
191,dan has $ number0 . he bought a candy bar for $ number1 and a chocolate for $ number2 . how much money did he spend buying the candy bar and chocolate ?,4 7 6,+ number1 number2,13.0,"[1, 2, 3, 11, 12, 13, 17, 18, 29, 30, 31]",Addition,"21, 11",dan has $ number0 . he bought a candy bar for $ number1 and a chocolate for $ number2 .,how much money did he spend buying the candy bar and chocolate ?,,
192,dan has $ number0 . he bought a candy bar for $ number1 and a chocolate for $ number2 . how much money did he spend to buy candy bar than he did to buy chocolate ?,2 6 3,- number1 number2,3.0,"[1, 2, 3, 33, 34, 35, 11, 12, 13, 17, 18]",Subtraction,"21, 11",dan has $ number0 . he bought a candy bar for $ number1 and a chocolate for $ number2 .,how much money did he spend to buy candy bar than he did to buy chocolate ?,,
193,dan has $ number0 . he bought a candy bar for $ number1 and a chocolate for $ number2 . how much money did he spend to buy chocolate than he did to buy candy bar ?,5 2 3,- number2 number1,1.0,"[1, 2, 3, 33, 34, 35, 11, 12, 13, 17, 18]",Subtraction,"21, 11",dan has $ number0 . he bought a candy bar for $ number1 and a chocolate for $ number2 .,how much money did he spend to buy chocolate than he did to buy candy bar ?,,
194,dan has $ number0 . he bought a candy bar for $ number1 . then his friend have him $ number2 how much money is left ?,4 8 5,+ - number0 number1 number2,1.0,"[1, 2, 3, 11, 12, 17, 19, 20, 21, 23, 24, 25]",Addition,21,dan has $ number0 . he bought a candy bar for $ number1 . then his friend have him $ number2,how much money is left ?,,
195,dan had $ number0 left with him after he bought a candy bar . if he had $ number1 at the start how much did the candy bar cost ?,3 4,- number1 number0,1.0,"[1, 2, 3, 4, 17, 18, 19, 26, 27, 28]",Subtraction,"23, 32",dan had $ number0 left with him after he bought a candy bar . if he had $ number1 at the start,how much did the candy bar cost ?,,
196,dan has $ number0 . for a total of $ number1 he bought number2 candy bar each one costing the same amount of money . how much money is left ?,4 3 10,- number0 number1,1.0,"[1, 2, 3, 9, 10, 11, 12, 13, 14, 15, 16, 27, 28, 29]",Subtraction,"22, 32",dan has $ number0 . for a total of $ number1 he bought number2 candy bar each one costing the same amount of money .,how much money is left ?,,
197,dan has $ number0 . for a total of $ number1 he bought number2 candy bar each one costing the same amount of money . how much did each candy bar cost ?,3 4 2,/ number1 number2,2.0,"[1, 2, 3, 9, 10, 11, 12, 13, 14, 15, 16, 28, 29, 30, 31]",Common-Division,"22, 11, 32",dan has $ number0 . for a total of $ number1 he bought number2 candy bar each one costing the same amount of money .,how much did each candy bar cost ?,,
198,dan has $ number0 . he bought a chocolate for $ number1 and a candy bar for $ number2 . how much money did he spend to buy candy bar than he did to buy chocolate ?,5 3 7,- number2 number1,4.0,"[1, 2, 3, 33, 34, 35, 10, 11, 12, 17, 18]",Subtraction,"21, 11, 31",dan has $ number0 . he bought a chocolate for $ number1 and a candy bar for $ number2 .,how much money did he spend to buy candy bar than he did to buy chocolate ?,,
199,dan has $ number0 . he bought a chocolate for $ number1 and a candy bar for $ number2 . how much money did he spend to buy chocolate than he did to buy candy bar ?,4 7 2,- number1 number2,5.0,"[1, 2, 3, 33, 34, 35, 10, 11, 12, 17, 18]",Subtraction,"21, 11, 31",dan has $ number0 . he bought a chocolate for $ number1 and a candy bar for $ number2 .,how much money did he spend to buy chocolate than he did to buy candy bar ?,,
200,paul had number0 books . he sold number1 books in a garage sale . how many books does he have left with him ?,115 78,- number0 number1,37.0,"[1, 2, 3, 6, 7, 8, 20, 21, 22]",Subtraction,23,paul had number0 books . he sold number1 books in a garage sale .,how many books does he have left with him ?,,
201,paul had some books . after selling number0 in a garage sale he had number1 left . how many books did he have at the start ?,137 105,+ number0 number1,242.0,"[6, 7, 8, 13, 14, 15, 23, 24, 25]",Addition,23,paul had some books . after selling number0 in a garage sale he had number1 left .,how many books did he have at the start ?,,
202,paul had number0 books . after selling some books in a garage sale and giving number1 books to his friend he had number2 books left . how many books did he sell in the garage sale ?,108 35 62,- - number0 number1 number2,11.0,"[1, 2, 3, 33, 5, 34, 35, 9, 14, 15, 16, 21, 22, 23]",Subtraction,21,paul had number0 books . after selling some books in a garage sale and giving number1 books to his friend he had number2 books left .,how many books did he sell in the garage sale ?,,
203,paul had number0 books . after buying some in a garage sale he had number1 left . how many books did he buy ?,50 151,- number1 number0,101.0,"[1, 2, 3, 5, 8, 13, 14, 15, 20, 21, 22]",Subtraction,22,paul had number0 books . after buying some in a garage sale he had number1 left .,how many books did he buy ?,,
204,paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now how many books did he sell ?,2 150 58,- + number0 number1 number2,94.0,"[1, 2, 3, 7, 8, 10, 11, 13, 14, 15, 16, 20, 21, 22, 27, 28, 29]",Subtraction,22,paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now,how many books did he sell ?,,
205,paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now how many more books did he sell than he bought ?,21 42 15,- number0 number2,6.0,"[32, 1, 2, 3, 33, 7, 8, 10, 12, 13, 14, 15, 16, 20, 21, 22, 31]",Subtraction,"22, 11",paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now,how many more books did he sell than he bought ?,,
206,paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now how many more books did he buy than he sold ?,71 38 116,- number2 number0,45.0,"[32, 1, 2, 3, 33, 7, 8, 10, 12, 13, 14, 15, 16, 20, 21, 22, 31]",Subtraction,"22, 11",paul had number0 books . after selling some in a garage sale he bought number1 new ones . if he has number2 books now,how many more books did he buy than he sold ?,,
207,paul had number0 books and number1 pens . after selling some books and pens in a garage sale he had number2 books and number3 pens left . how many books did he sell in the garage sale ?,108 55 66 59,- number0 number2,42.0,"[1, 2, 3, 4, 5, 6, 34, 35, 9, 36, 19, 20, 21, 22, 23, 24, 25]",Subtraction,33,paul had number0 books and number1 pens . after selling some books and pens in a garage sale he had number2 books and number3 pens left .,how many books did he sell in the garage sale ?,,
208,paul had number0 books and number1 pens . after selling some books and pens in a garage sale he had number2 books and number3 pens left . how many pens did he sell in the garage sale ?,51 106 82 14,- number1 number3,92.0,"[1, 2, 3, 4, 5, 6, 34, 35, 9, 36, 19, 20, 21, 22, 23, 24, 25]",Subtraction,"33, 12",paul had number0 books and number1 pens . after selling some books and pens in a garage sale he had number2 books and number3 pens left .,how many pens did he sell in the garage sale ?,,
209,paul sold some books in a garage sale leaving him with number0 books . if he had number1 books initially how many books did he sell ?,27 136,- number1 number0,109.0,"[1, 2, 7, 10, 11, 12, 16, 17, 18, 23, 24, 25]",Subtraction,32,paul sold some books in a garage sale leaving him with number0 books . if he had number1 books initially,how many books did he sell ?,,
210,paul had number0 books . after giving number1 books to his friend and selling some books in a garage sale he had number2 books left . how many books did he sell in the garage sale ?,134 39 68,- - number0 number1 number2,27.0,"[1, 2, 3, 33, 5, 6, 7, 8, 34, 35, 13, 21, 22, 23]",Subtraction,"21, 32",paul had number0 books . after giving number1 books to his friend and selling some books in a garage sale he had number2 books left .,how many books did he sell in the garage sale ?,,
211,paul had number0 pens and number1 books . after selling some books and pens in a garage sale he had number2 books and number3 pens left . how many books did he sell in the garage sale ?,95 153 13 23,- number1 number2,140.0,"[1, 2, 3, 4, 5, 6, 34, 35, 9, 36, 19, 20, 21, 22, 23, 24, 25]",Subtraction,"33, 31",paul had number0 pens and number1 books . after selling some books and pens in a garage sale he had number2 books and number3 pens left .,how many books did he sell in the garage sale ?,,
212,paul had number0 pens and number1 books . after selling some books and pens in a garage sale he had number2 books and number3 pens left . how many pens did he sell in the garage sale ?,42 143 113 19,- number0 number3,23.0,"[1, 2, 3, 4, 5, 6, 34, 35, 36, 11, 17, 19, 20, 21, 22, 23, 24]",Subtraction,"33, 12, 31",paul had number0 pens and number1 books . after selling some books and pens in a garage sale he had number2 books and number3 pens left .,how many pens did he sell in the garage sale ?,,
213,there were number0 roses in the vase . jessica cut number1 more roses from her flower garden and put them in the vase . how many roses are there in the vase now ?,10 8,+ number0 number1,18.0,"[32, 1, 2, 3, 4, 9, 10, 11, 12, 30, 31]",Addition,23,there were number0 roses in the vase . jessica cut number1 more roses from her flower garden and put them in the vase .,how many roses are there in the vase now ?,,
214,there were some roses in the vase . jessica cut number0 more roses from her flower garden and put them in the vase . there are now number1 roses in the vase . how many roses were there in the vase at the beginning ?,16 23,- number1 number0,7.0,"[1, 3, 4, 9, 10, 11, 12, 41, 42, 43, 26, 27, 28]",Subtraction,23,there were some roses in the vase . jessica cut number0 more roses from her flower garden and put them in the vase . there are now number1 roses in the vase .,how many roses were there in the vase at the beginning ?,,
215,there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase . how many roses did she cut ?,2 4 23,- + number2 number1 number0,25.0,"[1, 2, 3, 35, 34, 36, 5, 9, 10, 11, 12, 44, 45, 46]",Subtraction,21,there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase .,how many roses did she cut ?,,
216,there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase . how many more roses did she cut than those she threw away ?,15 33 17,- number2 number0,2.0,"[1, 2, 3, 35, 34, 36, 6, 9, 10, 11, 12, 50, 51, 52]",Subtraction,"21, 11",there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase .,how many more roses did she cut than those she threw away ?,,
217,there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase . how many more roses did she throw away than those she cut from her garden ?,21 34 15,- number0 number2,6.0,"[1, 2, 3, 35, 34, 36, 6, 9, 10, 11, 12, 53, 54, 55]",Subtraction,"21, 11",there were number0 roses in the vase . jessica threw away number1 roses from the vase and cut some more new roses from her flower garden to put in the vase . there are now number2 roses in the vase .,how many more roses did she throw away than those she cut from her garden ?,,
218,there were number0 roses in the vase . jessica cut some more roses from her flower garden which had a total of number1 roses . there are now number2 roses in the vase . how many roses did she cut ?,7 59 20,- number2 number0,13.0,"[1, 2, 3, 5, 37, 38, 39, 21, 22, 23, 27, 28, 29]",Subtraction,33,there were number0 roses in the vase . jessica cut some more roses from her flower garden which had a total of number1 roses . there are now number2 roses in the vase .,how many roses did she cut ?,,
219,there were number0 roses in the vase . jessica cut some more roses from her flower garden which had a total of number1 roses . there are now number2 roses in the vase . how many roses are left in the garden ?,13 12 21,- number1 - number2 number0,4.0,"[1, 2, 3, 39, 40, 41, 21, 22, 23, 27, 28, 29]",Subtraction,"33, 11",there were number0 roses in the vase . jessica cut some more roses from her flower garden which had a total of number1 roses . there are now number2 roses in the vase .,how many roses are left in the garden ?,,
220,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase . how many roses did she cut ?,15 62 17 96,- number2 number0,2.0,"[1, 2, 3, 4, 5, 6, 38, 39, 40, 25, 26, 27, 28, 29, 30]",Subtraction,33,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase .,how many roses did she cut ?,,
221,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase . how many orchids did she cut ?,12 2 10 21,- number3 number1,19.0,"[1, 2, 3, 4, 5, 6, 38, 39, 40, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 12",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase .,how many orchids did she cut ?,,
222,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase . how many more roses than orchids are there in the vase now ?,5 3 12 2,- number2 number3,10.0,"[1, 2, 3, 4, 5, 6, 7, 44, 45, 46, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 11",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase .,how many more roses than orchids are there in the vase now ?,,
223,there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase . how many more orchids than roses are there in the vase now ?,7 12 11 20,- number3 number2,9.0,"[1, 2, 3, 4, 5, 6, 7, 44, 45, 46, 25, 26, 27, 28, 29, 30]",Subtraction,"33, 13",there were number0 roses and number1 orchids in the vase . jessica cut some more roses and orchids from her flower garden . there are now number2 roses and number3 orchids in the vase .,how many more orchids than roses are there in the vase now ?,,
224,jessica cut some roses from her flower garden to put in her vase . there are now number0 roses in the vase . if there were number1 roses in the vase initially how many roses did she cut ?,19 3,- number0 number1,16.0,"[1, 2, 35, 36, 37, 10, 14, 16, 17, 18, 25, 26, 27]",Subtraction,31,jessica cut some roses from her flower garden to put in her vase . there are now number0 roses in the vase . if there were number1 roses in the vase initially,how many roses did she cut ?,,
