,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
589,faye was placing her pencils and crayons into number0 rows with number1 crayons and number2 pencils in each row . how many pencils does she have ?,30 71 24,* number0 number2,720.0,"[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 23, 24, 25]",Multiplication,"23, 33, 31",faye was placing her pencils and crayons into number0 rows with number1 crayons and number2 pencils in each row .,how many pencils does she have ?,,
590,faye was placing her pencils and crayons into number0 rows with number1 crayons and number2 pencils in each row . how many crayons does she have ?,16 6 21,* number0 number1,96.0,"[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 23, 24, 25]",Multiplication,"23, 33, 13, 31",faye was placing her pencils and crayons into number0 rows with number1 crayons and number2 pencils in each row .,how many crayons does she have ?,,
591,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 school buses . if all buses are full how many seats are in each bus ?,21 98 7,/ number1 number2,14.0,"[1, 2, 35, 36, 4, 37, 10, 11, 12, 15, 16, 17, 21, 22, 23, 24]",Common-Division,23,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 school buses . if all buses are full,how many seats are in each bus ?,,
592,the school is planning a field trip . the school has number0 classrooms . number1 school buses are fully filled with number2 seats on each school bus . how many students are in the school ?,84 95 118,* number1 number2,11210.0,"[32, 33, 2, 34, 10, 11, 12, 14, 15, 16, 20, 21, 22, 24]",Multiplication,23,the school is planning a field trip . the school has number0 classrooms . number1 school buses are fully filled with number2 seats on each school bus .,how many students are in the school ?,,
593,the school is planning a field trip . the school has number0 classrooms . there are number1 students in each classroom in the school . if there are number2 seats on each school bus how many buses are needed to take the trip ?,67 66 6,* number0 / number1 number2,737.0,"[1, 2, 40, 41, 10, 11, 12, 42, 15, 16, 17, 19, 27, 28, 29, 31]",Multiplication,22,the school is planning a field trip . the school has number0 classrooms . there are number1 students in each classroom in the school . if there are number2 seats on each school bus,how many buses are needed to take the trip ?,,
594,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school with each classroom having the same number of students . if there are number2 seats on each school bus . how many buses are needed to take the trip ?,87 58 2,/ number1 number2,29.0,"[33, 34, 35, 2, 37, 1, 10, 11, 12, 15, 16, 17, 47, 48, 49, 22]",Common-Division,22,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school with each classroom having the same number of students . if there are number2 seats on each school bus .,how many buses are needed to take the trip ?,,
595,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school with each classroom having the same number of students . there are number2 seats on each school bus . how many students are in each class ?,24 120 84,/ number1 number0,5.0,"[32, 33, 34, 2, 36, 1, 6, 10, 11, 12, 45, 44, 15, 16, 17, 46, 22]",Common-Division,22,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school with each classroom having the same number of students . there are number2 seats on each school bus .,how many students are in each class ?,,
596,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus . if number3 students do n't want to go for the trip how many buses are needed to take the trip ?,66 102 8 22,/ - number1 number3 number2,10.0,"[1, 2, 5, 10, 11, 12, 46, 15, 16, 17, 47, 48, 21, 22, 23, 25, 29, 30, 31]",Common-Division,21,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus . if number3 students do n't want to go for the trip,how many buses are needed to take the trip ?,,
597,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus . if number3 students do n't want to go for the trip how many students are going on the trip ?,102 11 99 8,- number1 number3,3.0,"[1, 2, 5, 10, 11, 12, 45, 46, 15, 16, 17, 47, 21, 22, 23, 25, 29, 30, 31]",Subtraction,"21, 13",the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus . if number3 students do n't want to go for the trip,how many students are going on the trip ?,,
598,the school is planning a field trip . the school has number0 classrooms . there are number1 seats on each school bus . if there are a total of number2 students in the school how many buses are needed to take the trip ?,72 3 111,/ number2 number1,37.0,"[1, 2, 40, 41, 10, 11, 12, 42, 15, 16, 17, 19, 28, 29, 30]",Common-Division,32,the school is planning a field trip . the school has number0 classrooms . there are number1 seats on each school bus . if there are a total of number2 students in the school,how many buses are needed to take the trip ?,,
599,the school is planning a field trip . the school has number0 classrooms . there are number1 school buses and a total of number2 students in the school . if all buses are full how many seats are in each bus ?,17 46 92,/ number2 number1,2.0,"[1, 2, 4, 38, 39, 40, 10, 11, 12, 15, 16, 17, 18, 22, 23, 24]",Common-Division,"23, 32",the school is planning a field trip . the school has number0 classrooms . there are number1 school buses and a total of number2 students in the school . if all buses are full,how many seats are in each bus ?,,
600,in haley 's class number0 are boys who love to play marbles . if haley gives number1 marbles to each boy how many marbles did she have ?,11 9,* number0 number1,99.0,"[2, 3, 4, 5, 9, 10, 13, 15, 16, 17, 19, 24, 25, 26]",Multiplication,23,in haley 's class number0 are boys who love to play marbles . if haley gives number1 marbles to each boy,how many marbles did she have ?,,
601,in haley 's class some boys love to play marbles . if haley has number0 marbles and she gave number1 marbles to each boy how many boys did she give the marbles to ?,10 5,/ number0 number1,2.0,"[32, 2, 7, 8, 13, 14, 15, 18, 19, 20, 22, 30, 31]",Common-Division,23,in haley 's class some boys love to play marbles . if haley has number0 marbles and she gave number1 marbles to each boy,how many boys did she give the marbles to ?,,
602,in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles and wants to keep number2 marbles for herself how many will each of the boys receive ?,4 23 15,/ - number1 number2 number0,2.0,"[32, 33, 2, 3, 4, 5, 8, 10, 15, 16, 17, 21, 22, 23, 29, 31]",Common-Division,21,in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles and wants to keep number2 marbles for herself,how many will each of the boys receive ?,,
603,in haley 's class number0 boys love to play marbles and number1 boys love to play cards . if haley has number2 marbles how many will each of the boys receive ?,13 50 26,/ number2 number0,2.0,"[2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 20, 21, 22, 26, 28, 29, 30]",Common-Division,33,in haley 's class number0 boys love to play marbles and number1 boys love to play cards . if haley has number2 marbles,how many will each of the boys receive ?,,
604,haley has number0 marbles . in her class number1 boys love to play marbles . if she distributes her marbles equally how many will each of the boys receive ?,20 2,/ number0 number1,10.0,"[1, 2, 3, 7, 8, 9, 24, 26, 27, 28]",Common-Division,32,haley has number0 marbles . in her class number1 boys love to play marbles . if she distributes her marbles equally,how many will each of the boys receive ?,,
605,in haley 's class some boys love to play marbles . haley gives number0 marbles to each boy . if she had number1 marbles how many boys did she give the marbles to ?,2 28,/ number1 number0,14.0,"[32, 1, 2, 8, 10, 12, 13, 14, 16, 21, 22, 23, 30, 31]",Common-Division,"23, 32",in haley 's class some boys love to play marbles . haley gives number0 marbles to each boy . if she had number1 marbles,how many boys did she give the marbles to ?,,
606,frank was reading through his favorite book . the book had number0 pages and he read number1 pages per day . how many days did he take to finish the book ?,392 14,/ number0 number1,28.0,"[2, 7, 10, 11, 12, 15, 16, 17, 18, 28, 29, 30]",Common-Division,23,frank was reading through his favorite book . the book had number0 pages and he read number1 pages per day .,how many days did he take to finish the book ?,,
607,frank was reading through his favorite book . he read number0 pages per day and it took him number1 days to finish the book . how many pages are there in the book ?,22 569,* number0 number1,12518.0,"[32, 1, 4, 8, 9, 10, 11, 12, 17, 18, 19, 30, 31]",Multiplication,23,frank was reading through his favorite book . he read number0 pages per day and it took him number1 days to finish the book .,how many pages are there in the book ?,,
608,frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book . how many pages did he read per day ?,612 24 6,/ number0 number2,102.0,"[1, 2, 35, 34, 5, 36, 10, 11, 12, 15, 16, 17, 21, 22, 23]",Common-Division,33,frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book .,how many pages did he read per day ?,,
609,frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book . how many pages are in each chapter ?,555 5 220,/ number0 number1,111.0,"[1, 34, 2, 33, 35, 6, 10, 11, 12, 15, 16, 17, 21, 22, 23]",Common-Division,"33, 11",frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book .,how many pages are in each chapter ?,,
610,frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book . how many chapters did he read per day ?,193 15 660,/ number2 number1,44.0,"[1, 2, 35, 34, 5, 36, 10, 11, 12, 15, 16, 17, 21, 22, 23]",Common-Division,"33, 12",frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book .,how many chapters did he read per day ?,,
611,frank was reading through some books . each book had number0 pages and it took frank number1 days to finish each book . how many pages did he read per day ?,249 3,/ number0 number1,83.0,"[1, 2, 5, 7, 9, 10, 11, 15, 16, 17, 20, 28, 29, 30]",Common-Division,22,frank was reading through some books . each book had number0 pages and it took frank number1 days to finish each book .,how many pages did he read per day ?,,
612,frank was reading through some books . each book had number0 pages and it took frank number1 days to finish each book . if he takes number2 days to finish all books how many books did he read ?,66 12 492,/ number2 number1,41.0,"[2, 35, 36, 37, 7, 9, 10, 11, 15, 16, 17, 20, 25, 26, 27]",Common-Division,22,frank was reading through some books . each book had number0 pages and it took frank number1 days to finish each book . if he takes number2 days to finish all books,how many books did he read ?,,
613,frank was reading through his favorite book . it took him number0 days to finish the book . if the book had number1 pages how many pages did he read per day ?,16 112,/ number1 number0,7.0,"[1, 3, 7, 10, 11, 12, 21, 22, 23, 29, 30, 31]",Common-Division,32,frank was reading through his favorite book . it took him number0 days to finish the book . if the book had number1 pages,how many pages did he read per day ?,,
614,frank was reading through his favorite book . he read number0 pages per day . if the book had number1 pages how many days did he take to finish the book ?,8 576,/ number1 number0,72.0,"[1, 3, 9, 10, 11, 12, 18, 19, 20, 28, 29, 30]",Common-Division,"23, 32",frank was reading through his favorite book . he read number0 pages per day . if the book had number1 pages,how many days did he take to finish the book ?,,
615,frank was reading through his favorite book . the book had number0 chapters each with number1 pages . it took frank number2 days to finish the book . how many pages did he read per day ?,41 450 30,/ number1 number2,15.0,"[1, 34, 2, 33, 5, 35, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]",Common-Division,"33, 32",frank was reading through his favorite book . the book had number0 chapters each with number1 pages . it took frank number2 days to finish the book .,how many pages did he read per day ?,,
616,frank was reading through his favorite book . the book had number0 chapters each with number1 pages . it took frank number2 days to finish the book . how many pages are in each chapter ?,3 594 607,/ number1 number0,198.0,"[32, 33, 2, 1, 34, 6, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]",Common-Division,"33, 11, 32",frank was reading through his favorite book . the book had number0 chapters each with number1 pages . it took frank number2 days to finish the book .,how many pages are in each chapter ?,,
617,frank was reading through his favorite book . the book had number0 chapters each with number1 pages . it took frank number2 days to finish the book . how many chapters did he read per day ?,2 405 664,/ number2 number0,332.0,"[1, 34, 2, 33, 5, 35, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]",Common-Division,"33, 12, 32",frank was reading through his favorite book . the book had number0 chapters each with number1 pages . it took frank number2 days to finish the book .,how many chapters did he read per day ?,,
618,number0 packs of dvds can be bought with number1 dollars . how much does each pack cost ?,6 120,/ number1 number0,20.0,"[0, 1, 7, 8, 9, 14, 15, 16]",Common-Division,23,number0 packs of dvds can be bought with number1 dollars .,how much does each pack cost ?,,
619,if each pack costs number0 dollars how much will it cost to buy number1 packs of dvds ?,81 33,* number0 number1,2673.0,"[1, 3, 4, 5, 12, 13, 14, 15, 16]",Multiplication,23,if each pack costs number0 dollars,how much will it cost to buy number1 packs of dvds ?,,
620,each pack of dvds costs number0 dollars . if there is a discount of number1 dollars on each pack how many packs of dvds can you buy with number2 dollars ?,107 106 93,/ number2 - number0 number1,93.0,"[0, 4, 5, 6, 13, 14, 15, 17, 27, 28, 29]",Common-Division,21,each pack of dvds costs number0 dollars . if there is a discount of number1 dollars on each pack,how many packs of dvds can you buy with number2 dollars ?,,
621,each pack of dvds costs number0 dollars . if there is a discount of number1 dollars on each pack how much do you have to pay to buy each pack ?,76 25,- number0 number1,51.0,"[0, 4, 5, 6, 13, 14, 15, 17, 27, 28, 29]",Subtraction,"21, 11",each pack of dvds costs number0 dollars . if there is a discount of number1 dollars on each pack,how much do you have to pay to buy each pack ?,,
622,you have number0 dollars . how many packs of dvds can you buy if each pack costs number1 dollars ?,104 26,/ number0 number1,4.0,"[1, 2, 3, 11, 14, 16, 17, 18]",Common-Division,32,you have number0 dollars .,how many packs of dvds can you buy if each pack costs number1 dollars ?,,
623,with number0 dollars number1 packs of dvds can be bought . how much does each pack cost ?,28 2,/ number0 number1,14.0,"[0, 1, 2, 3, 4, 14, 15, 16]",Common-Division,"23, 32",with number0 dollars number1 packs of dvds can be bought .,how much does each pack cost ?,,
624,there are number0 bananas in philip 's banana collection . if the bananas are organized into groups of size number1 how many groups are there ?,18 2,/ number0 number1,9.0,"[1, 2, 3, 18, 19, 20, 22, 23, 24]",Common-Division,23,there are number0 bananas in philip 's banana collection . if the bananas are organized into groups of size number1,how many groups are there ?,,
625,there are some bananas in philip 's banana collection . if the bananas are organized into number0 groups of size number1 how many bananas does he have in his collection ?,140 187,* number0 number1,26180.0,"[15, 16, 17, 19, 20, 21, 27, 28, 29]",Multiplication,23,there are some bananas in philip 's banana collection . if the bananas are organized into number0 groups of size number1,how many bananas does he have in his collection ?,,
626,there are number0 bananas and number1 oranges in philip 's collection . if the bananas are organized into number2 groups and oranges are organized into number3 groups how big is each group of bananas ?,203 63 7 95,/ number0 number2,29.0,"[32, 1, 2, 3, 4, 5, 6, 33, 17, 18, 19, 24, 25, 26, 30, 31]",Common-Division,22,there are number0 bananas and number1 oranges in philip 's collection . if the bananas are organized into number2 groups and oranges are organized into number3 groups,how big is each group of bananas ?,,
627,there are number0 bananas and number1 oranges in philip 's collection . if the bananas are organized into number2 groups and oranges are organized into number3 groups how big is each group of oranges ?,142 356 47 178,/ number1 number3,2.0,"[32, 1, 2, 3, 4, 5, 6, 33, 17, 18, 19, 24, 25, 26, 30, 31]",Common-Division,22,there are number0 bananas and number1 oranges in philip 's collection . if the bananas are organized into number2 groups and oranges are organized into number3 groups,how big is each group of oranges ?,,
628,the bananas in philip 's collection are organized into number0 groups . if there are a total of number1 bananas in philip 's banana collection how big is each group ?,196 392,/ number1 number0,2.0,"[8, 9, 10, 17, 18, 19, 27, 28, 29]",Common-Division,32,the bananas in philip 's collection are organized into number0 groups . if there are a total of number1 bananas in philip 's banana collection,how big is each group ?,,
629,the bananas in philip 's collection are organized into groups of size number0 . if there are a total of number1 bananas in philip 's banana collection how many groups are there ?,18 180,/ number1 number0,10.0,"[11, 12, 19, 20, 21, 29, 30, 31]",Common-Division,"23, 32",the bananas in philip 's collection are organized into groups of size number0 . if there are a total of number1 bananas in philip 's banana collection,how many groups are there ?,,
630,there are number0 oranges and number1 bananas in philip 's collection . if the bananas are organized into number2 groups and oranges are organized into number3 groups how big is each group of bananas ?,87 290 2 93,/ number1 number2,145.0,"[32, 1, 2, 3, 4, 5, 6, 33, 17, 18, 19, 24, 25, 26, 30, 31]",Common-Division,"22, 31",there are number0 oranges and number1 bananas in philip 's collection . if the bananas are organized into number2 groups and oranges are organized into number3 groups,how big is each group of bananas ?,,
631,there are number0 oranges and number1 bananas in philip 's collection . if the bananas are organized into number2 groups and oranges are organized into number3 groups how big is each group of oranges ?,384 192 345 16,/ number0 number3,24.0,"[32, 1, 2, 3, 4, 5, 6, 33, 17, 18, 19, 24, 25, 26, 30, 31]",Common-Division,"22, 31",there are number0 oranges and number1 bananas in philip 's collection . if the bananas are organized into number2 groups and oranges are organized into number3 groups,how big is each group of oranges ?,,
632,brenda 's mother made cookies for guests . if she prepared number0 cookies and each of them had number1 cookies how many guests did she prepare cookies for ?,38 19,/ number0 number1,2.0,"[2, 3, 9, 10, 11, 12, 14, 17, 18, 19, 25, 26, 27]",Common-Division,23,brenda 's mother made cookies for guests . if she prepared number0 cookies and each of them had number1 cookies,how many guests did she prepare cookies for ?,,
633,brenda 's mother made cookies for number0 . if each of them had number1 cookies how many cookies did she prepare ?,14 30,* number0 number1,420.0,"[3, 4, 5, 6, 8, 9, 12, 13, 14, 18, 19, 20]",Multiplication,23,brenda 's mother made cookies for number0 . if each of them had number1 cookies,how many cookies did she prepare ?,,
634,brenda 's mother made cookies for number0 . she prepared number1 cookies but had to throw away number2 cookies . if each of them had the same number of cookies how many did each of them have ?,5 22 17,/ - number1 number2 number0,1.0,"[33, 1, 3, 34, 5, 6, 7, 35, 9, 10, 11, 36, 16, 17, 18, 21]",Common-Division,21,brenda 's mother made cookies for number0 . she prepared number1 cookies but had to throw away number2 cookies . if each of them had the same number of cookies,how many did each of them have ?,,
635,brenda 's mother made cookies for number0 guests but number1 guests did not come . if she prepared number2 cookies and each guest had the same number of cookies how many did each of them have ?,10 9 18,/ number2 - number0 number1,18.0,"[32, 33, 2, 3, 34, 5, 6, 7, 8, 9, 10, 35, 13, 17, 18, 19, 21]",Common-Division,22,brenda 's mother made cookies for number0 guests but number1 guests did not come . if she prepared number2 cookies and each guest had the same number of cookies,how many did each of them have ?,,
636,brenda 's mother made number0 cookies for number1 guests . if each of them had the same number of cookies how many did each of them have ?,14 2,/ number0 number1,7.0,"[3, 4, 5, 6, 7, 8, 11, 23, 24, 25, 26]",Common-Division,32,brenda 's mother made number0 cookies for number1 guests . if each of them had the same number of cookies,how many did each of them have ?,,
637,brenda 's mother made cookies for guests . each guest had number0 cookies . if she prepared a total of number1 cookies how many guests did she prepare cookies for ?,2 10,/ number1 number0,5.0,"[2, 3, 8, 10, 11, 12, 13, 19, 20, 21, 27, 28, 29]",Common-Division,"23, 32",brenda 's mother made cookies for guests . each guest had number0 cookies . if she prepared a total of number1 cookies,how many guests did she prepare cookies for ?,,
638,frank had number0 pieces of candy . if he put them equally into number1 bags how many pieces of candy are in each bag ?,42 2,/ number0 number1,21.0,"[1, 2, 3, 9, 12, 13, 14, 16, 21, 22, 23]",Common-Division,23,frank had number0 pieces of candy . if he put them equally into number1 bags,how many pieces of candy are in each bag ?,,
639,frank had some pieces of candy . if he put them into number0 bags with number1 pieces in each bag how many pieces of candy did he have ?,26 33,* number0 number1,858.0,"[1, 11, 12, 13, 14, 15, 16, 18, 20, 25, 26, 27]",Multiplication,23,frank had some pieces of candy . if he put them into number0 bags with number1 pieces in each bag,how many pieces of candy did he have ?,,
640,frank had number0 pieces of candy . he lost number1 of them . if he put the remaining pieces into bags with number2 pieces in each bag how many bags would he have ?,33 24 9,/ - number0 number1 number2,1.0,"[32, 1, 2, 3, 4, 8, 9, 10, 21, 22, 23, 25, 30, 31]",Common-Division,21,frank had number0 pieces of candy . he lost number1 of them . if he put the remaining pieces into bags with number2 pieces in each bag,how many bags would he have ?,,
641,frank put number0 pieces of candy in each bag . if he had number1 pieces of candy how many bags would he have ?,11 22,/ number1 number0,2.0,"[1, 2, 3, 7, 12, 13, 14, 20, 21, 22]",Common-Division,32,frank put number0 pieces of candy in each bag . if he had number1 pieces of candy,how many bags would he have ?,,
642,frank put some pieces of candy equally into number0 bags . if he had number1 pieces of candy how many pieces of candy are in each bag ?,2 16,/ number1 number0,8.0,"[1, 2, 7, 8, 9, 13, 14, 15, 24, 25, 26]",Common-Division,"23, 32",frank put some pieces of candy equally into number0 bags . if he had number1 pieces of candy,how many pieces of candy are in each bag ?,,
643,shirley sold number0 cases of boxes of trefoils . how many boxes of trefoils does she need to deliver if each case has number1 boxes ?,25 14,* number0 number1,350.0,"[1, 2, 3, 7, 13, 20, 22, 23, 24]",Multiplication,23,shirley sold number0 cases of boxes of trefoils .,how many boxes of trefoils does she need to deliver if each case has number1 boxes ?,,
644,shirley sold number0 boxes of trefoils . how many boxes are in each case if she needs to deliver number1 cases of boxes ?,10 5,/ number0 number1,2.0,"[1, 2, 3, 6, 11, 12, 18, 19, 20, 21, 22]",Common-Division,23,shirley sold number0 boxes of trefoils .,how many boxes are in each case if she needs to deliver number1 cases of boxes ?,,
645,a grocery store had number0 bottles of regular soda and number1 bottles of diet soda . how many more bottles of regular soda than diet soda did they have ?,67 9,- number0 number1,58.0,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 26, 27, 28]",Subtraction,13,a grocery store had number0 bottles of regular soda and number1 bottles of diet soda .,how many more bottles of regular soda than diet soda did they have ?,,
646,a grocery store had number0 bottles of regular soda and number1 bottles of diet soda . how many more bottles of diet soda than regular soda did they have ?,22 61,- number1 number0,39.0,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 26, 27, 28]",Subtraction,13,a grocery store had number0 bottles of regular soda and number1 bottles of diet soda .,how many more bottles of diet soda than regular soda did they have ?,,
647,a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 apples . how many bottles did they have total ?,30 8 41,+ number0 number1,38.0,"[1, 3, 4, 5, 8, 9, 10, 14, 15, 16, 22, 23, 24]",Addition,33,a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 apples .,how many bottles did they have total ?,,
648,a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 apples . how many more bottles of regular soda than diet soda did they have ?,79 53 42,- number0 number1,26.0,"[1, 2, 3, 4, 5, 8, 9, 10, 12, 14, 15, 16, 28, 29, 30]",Subtraction,"33, 13",a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 apples .,how many more bottles of regular soda than diet soda did they have ?,,
649,a grocery store had number0 bottles of diet soda number1 bottles of regular soda and number2 apples . how many more bottles of regular soda than diet soda did they have ?,54 83 12,- number1 number0,29.0,"[1, 2, 3, 4, 5, 8, 9, 10, 12, 14, 15, 16, 28, 29, 30]",Subtraction,"33, 13, 31",a grocery store had number0 bottles of diet soda number1 bottles of regular soda and number2 apples .,how many more bottles of regular soda than diet soda did they have ?,,
650,a grocery store had a total of number0 bottles of which number1 were bottles of regular soda and the rest were bottles of diet soda . they also had number2 apple . how many bottles of diet soda did they have ?,17 9 29,- number0 number1,8.0,"[1, 2, 6, 7, 8, 38, 10, 11, 12, 39, 40, 28, 29, 30]",Subtraction,"23, 33",a grocery store had a total of number0 bottles of which number1 were bottles of regular soda and the rest were bottles of diet soda . they also had number2 apple .,how many bottles of diet soda did they have ?,,
651,a grocery store had number0 bottles of diet soda and number1 bottles of regular soda . how many more bottles of regular soda than diet soda did they have ?,19 60,- number1 number0,41.0,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 26, 27, 28]",Subtraction,"13, 31",a grocery store had number0 bottles of diet soda and number1 bottles of regular soda .,how many more bottles of regular soda than diet soda did they have ?,,
652,a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 apples . how many more bottles than apple did they have ?,72 32 78,- + number0 number1 number2,26.0,"[1, 2, 3, 4, 5, 8, 9, 10, 14, 15, 16, 24, 25, 26]",Subtraction,"33,11",a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 apples .,how many more bottles than apple did they have ?,,
653,a grocery store had number0 apples number1 bottles of regular soda and number2 bottles of diet soda . how many more bottles than apple did they have ?,36 80 54,- + number1 number2 number0,98.0,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 24, 25, 26]",Subtraction,"33, 11, 31",a grocery store had number0 apples number1 bottles of regular soda and number2 bottles of diet soda .,how many more bottles than apple did they have ?,,
654,a grocery store had a total of number0 bottles of which number1 were bottles of regular soda and the rest were bottles of diet soda . how many bottles of diet soda did they have ?,30 28,- number0 number1,2.0,"[32, 1, 33, 34, 6, 7, 8, 10, 11, 12]",Subtraction,23,a grocery store had a total of number0 bottles of which number1 were bottles of regular soda and the rest were bottles of diet soda .,how many bottles of diet soda did they have ?,,
655,a grocery store had number0 bottles of diet soda . if they had number1 more bottles of regular soda than diet soda how many bottles of regular soda did they have ?,4 79,+ number0 number1,83.0,"[2, 3, 4, 5, 12, 13, 14, 15, 20, 28, 29, 30]",Addition,"13, 23",a grocery store had number0 bottles of diet soda . if they had number1 more bottles of regular soda than diet soda,how many bottles of regular soda did they have ?,,
656,a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 bottles of lite soda . how many bottles did they have total ?,57 26 27,+ + number0 number1 number2,110.0,"[1, 3, 4, 5, 8, 9, 10, 14, 15, 16, 25, 26, 27]",Addition,21,a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 bottles of lite soda .,how many bottles did they have total ?,,
657,a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 bottles of lite soda . how many more bottles of regular soda did they have than diet soda ?,81 60 60,- number0 number1,21.0,"[32, 1, 2, 3, 4, 5, 33, 8, 9, 10, 14, 15, 16, 31]",Subtraction,"21, 13",a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 bottles of lite soda .,how many more bottles of regular soda did they have than diet soda ?,,
658,a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 bottles of lite soda . how many bottles of regular soda and diet soda did they have altogether ?,49 40 6,+ number1 number0,89.0,"[32, 1, 33, 3, 4, 5, 8, 9, 10, 11, 14, 15, 16, 31]",Addition,"21, 13",a grocery store had number0 bottles of regular soda number1 bottles of diet soda and number2 bottles of lite soda .,how many bottles of regular soda and diet soda did they have altogether ?,,
659,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace that day . if there were number1 visitors the previous day how many more visitors visited the buckingham palace on that day than on the previous day ?,317 295,- number0 number1,22.0,"[2, 6, 9, 10, 12, 16, 17, 18, 48, 49, 50, 29, 30, 31]",Subtraction,11,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace that day . if there were number1 visitors the previous day,how many more visitors visited the buckingham palace on that day than on the previous day ?,,
660,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace on the previous day . if there were number1 visitors on that day how many visited the buckingham palace within number2 days ?,703 246 25,+ number1 number0,949.0,"[32, 33, 2, 6, 43, 44, 45, 16, 17, 18, 31]",Addition,32,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace on the previous day . if there were number1 visitors on that day,how many visited the buckingham palace within number2 days ?,,
661,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace on the previous day . if there were number1 visitors on that day how many more visitors visited the buckingham palace on that day than on the previous day ?,100 666,- number1 number0,566.0,"[32, 33, 2, 6, 9, 10, 12, 16, 17, 18, 50, 51, 52, 31]",Subtraction,"11, 32",after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace on the previous day . if there were number1 visitors on that day,how many more visitors visited the buckingham palace on that day than on the previous day ?,,
662,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace that day . if number1 people visited the buckingham palace within the past number2 days how many visitors visited the buckingham palace on the previous day ?,132 406 327,- number1 number0,274.0,"[3, 36, 37, 38, 6, 9, 13, 15, 16, 17, 18, 47, 48, 49, 27, 28, 29]",Subtraction,23,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace that day . if number1 people visited the buckingham palace within the past number2 days,how many visitors visited the buckingham palace on the previous day ?,,
663,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace on the previous day . if number1 people visited the buckingham palace within the past number2 days how many visitors visited the buckingham palace on that day ?,45 829 85,- number1 number0,784.0,"[3, 38, 39, 40, 6, 9, 13, 15, 16, 17, 18, 48, 49, 50, 29, 30, 31]",Subtraction,23,after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the buckingham palace on the previous day . if number1 people visited the buckingham palace within the past number2 days,how many visitors visited the buckingham palace on that day ?,,
